UniprotID	Q6IA86-7
Accession	Q6IA86;A8KAI6;B4DTG0;B4DXP0;E7EP23;E9PCX0;Q53GZ0;Q687Y8;Q8N5C2;Q96GV4;Q96PI7;Q9H9N0;Q9NV81
EntryName	ELP2_HUMAN
ProteinName	Elongator complex protein 2 (ELP2) (SHINC-2) (STAT3-interacting protein 1) (StIP1)
GeneName	ELP2 STATIP1
Length	756
Function	Component of the elongator complex which is required for multiple tRNA modifications, including mcm5U (5-methoxycarbonylmethyl uridine), mcm5s2U (5-methoxycarbonylmethyl-2-thiouridine), and ncm5U (5-carbamoylmethyl uridine) (PubMed:29332244). The elongator complex catalyzes the formation of carboxymethyluridine in the wobble base at position 34 in tRNAs (PubMed:29332244).
Subcellular Location	Cytoplasm; Nucleus
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.85263056
pNuLoCRegion	82...83;533...538;551...555;577...607;631...650;694...704
