UniprotID	Q9P2E9-3
Accession	Q9P2E9;A0A0A0MRV0;A2A2S6;A6NCN6;O75300;O75301;Q5W165;Q96SB2;Q9BWP1;Q9H476
EntryName	RRBP1_HUMAN
ProteinName	Ribosome-binding protein 1 (180 kDa ribosome receptor homolog) (RRp) (ES/130-related protein) (Ribosome receptor protein)
GeneName	RRBP1 KIAA1398
Length	977
Function	Acts as a ribosome receptor and mediates interaction between the ribosome and the endoplasmic reticulum membrane.
Subcellular Location	Endoplasmic reticulum membrane
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.626286
pNuLoCRegion	3...9
