UniprotID	Q9GZU2-2
Accession	Q9GZU2;A7E2B8;B4DIM4;C9JP50;P78418;Q5H9P9;Q7Z7H7;Q8TF75;Q9GZY2
EntryName	PEG3_HUMAN
ProteinName	Paternally-expressed gene 3 protein (Zinc finger and SCAN domain-containing protein 24)
GeneName	PEG3 KIAA0287 ZSCAN24
Length	1462
Function	Induces apoptosis in cooperation with SIAH1A. Acts as a mediator between p53/TP53 and BAX in a neuronal death pathway that is activated by DNA damage. Acts synergistically with TRAF2 and inhibits TNF induced apoptosis through activation of NF-kappa-B (By similarity). Possesses a tumor suppressing activity in glioma cells.
Subcellular Location	Nucleus; Cytoplasm
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.9689461
pNuLoCRegion	53...75;134...154;272...274;334...353;444...454
