UniprotID	Q9UKI8-5
Accession	Q9UKI8;B3KR15;B4DX87;Q14150;Q8N591;Q9NYH2;Q9Y4F6
EntryName	TLK1_HUMAN
ProteinName	Serine/threonine-protein kinase tousled-like 1 (EC 2.7.11.1) (PKU-beta) (Tousled-like kinase 1)
GeneName	TLK1 KIAA0137
Length	718
Function	Rapidly and transiently inhibited by phosphorylation following the generation of DNA double-stranded breaks during S-phase. This is cell cycle checkpoint and ATM-pathway dependent and appears to regulate processes involved in chromatin assembly. Isoform 3 phosphorylates and enhances the stability of the t-SNARE SNAP23, augmenting its assembly with syntaxin. Isoform 3 protects the cells from the ionizing radiation by facilitating the repair of DSBs. In vitro, phosphorylates histone H3 at 'Ser-10'.
Subcellular Location	Nucleus
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.96733963
pNuLoCRegion	63...89
