UniprotID	Q9Y6X6-4
Accession	Q9Y6X6;A6H8Y0;A8MTX3;Q5VYX4;Q5VYX5;Q5VYX6;Q6ZS13;Q8N3C2;Q8N948
EntryName	MYO16_HUMAN
ProteinName	Unconventional myosin-XVI (Neuronal tyrosine-phosphorylated phosphoinositide-3-kinase adapter 3) (Unconventional myosin-16)
GeneName	MYO16 KIAA0865 MYO16B NYAP3
Length	728
Function	Myosins are actin-based motor molecules with ATPase activity. Unconventional myosins serve in intracellular movements. Their highly divergent tails are presumed to bind to membranous compartments, which would be moved relative to actin filaments. May be involved in targeting of the catalytic subunit of protein phosphatase 1 during brain development. Activates PI3K and concomitantly recruits the WAVE1 complex to the close vicinity of PI3K and regulates neuronal morphogenesis (By similarity).
Subcellular Location	Cytoplasm
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.49704954
pNuLoCRegion	1...23;30...33;478...481
