UniprotID	Q9Y4W2-2
Accession	Q9Y4W2;A9X410;Q5JXQ0;Q8TEN5;Q9H9V5
EntryName	LAS1L_HUMAN
ProteinName	Ribosomal biogenesis protein LAS1L (Endoribonuclease LAS1L) (EC 3.1.-.-) (Protein LAS1 homolog)
GeneName	LAS1L MSTP060
Length	717
Function	Required for the synthesis of the 60S ribosomal subunit and maturation of the 28S rRNA (PubMed:20647540). Functions as a component of the Five Friends of Methylated CHTOP (5FMC) complex; the 5FMC complex is recruited to ZNF148 by methylated CHTOP, leading to desumoylation of ZNF148 and subsequent transactivation of ZNF148 target genes (PubMed:22872859). Required for the efficient pre-rRNA processing at both ends of internal transcribed spacer 2 (ITS2) (PubMed:22083961).
Subcellular Location	Nucleus; Nucleolus; Nucleus; Nucleoplasm; Cytoplasm
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.5513448
pNuLoCRegion	210...216
