UniprotID	Q96TA1-2
Accession	Q96TA1;Q4LE55;Q5VVW6;Q5VVW7;Q9BUS2;Q9NT35
EntryName	NIBA2_HUMAN
ProteinName	Protein Niban 2 (Meg-3) (Melanoma invasion by ERK) (MINERVA) (Niban-like protein 1) (Protein FAM129B)
GeneName	NIBAN2 C9orf88 FAM129B
Length	733
Function	May play a role in apoptosis suppression. May promote melanoma cell invasion in vitro.
Subcellular Location	Cytoplasm; Cytosol; Cell junction; Adherens junction; Membrane
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.8383494
pNuLoCRegion	19...38;60...66;154...169
