UniprotID	Q6UVM3-2
Accession	Q6UVM3;Q3SY59;Q5VTN1;Q6ZMT3
EntryName	KCNT2_HUMAN
ProteinName	Potassium channel subfamily T member 2 (KNa1.2) (Sequence like an intermediate conductance potassium channel subunit) (Sodium and chloride-activated ATP-sensitive potassium channel Slo2.1)
GeneName	KCNT2 SLICK Slo2.1
Length	1111
Function	Sodium-activated and chloride-activated potassium channel (PubMed:14684870, PubMed:16687497, PubMed:25214519, PubMed:27682982, PubMed:29069600, PubMed:29740868). Produces rapidly activating outward rectifier K(+) currents (PubMed:14684870). Contributes to regulate neuronal excitability (PubMed:29069600).
Subcellular Location	Cell membrane
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.0286035
pNuLoCRegion	
