UniprotID	Q5JUK3-2
Accession	Q5JUK3;B3KXF7;B7ZVY4;B9EGP2;G5E9V0;Q9P2C5
EntryName	KCNT1_HUMAN
ProteinName	Potassium channel subfamily T member 1 (KCa4.1) (KNa1.1) (Sodium and chloride-activated ATP-sensitive potassium channel Slo2.2)
GeneName	KCNT1 KIAA1422 SLACK Slo2.2
Length	1256
Function	Sodium-activated K(+) channel (PubMed:37494189). Acts as an important mediator of neuronal membrane excitability (PubMed:37494189). Contributes to the delayed outward currents (By similarity). Regulates neuronal bursting in sensory neurons (By similarity). Contributes to synaptic development and plasticity (By similarity).
Subcellular Location	Cell membrane
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.031125318
pNuLoCRegion	52...71
