UniprotID	Q9UJA5
Accession	Q9UJA5;B4DUV6;Q76P92;Q9BQV5;Q9ULR7;Q9Y2Z8
EntryName	TRM6_HUMAN
ProteinName	tRNA (adenine(58)-N(1))-methyltransferase non-catalytic subunit TRM6 (mRNA methyladenosine-N(1)-methyltransferase non-catalytic subunit TRM6) (tRNA(m1A58)-methyltransferase subunit TRM6) (tRNA(m1A58)MTase subunit TRM6)
GeneName	TRMT6 KIAA1153 TRM6 CGI-09
Length	497
Function	Substrate-binding subunit of tRNA (adenine-N(1)-)-methyltransferase, which catalyzes the formation of N(1)-methyladenine at position 58 (m1A58) in initiator methionyl-tRNA (PubMed:16043508). Together with the TRMT61A catalytic subunit, part of a mRNA N(1)-methyltransferase complex that mediates methylation of adenosine residues at the N(1) position of a small subset of mRNAs: N(1) methylation takes place in tRNA T-loop-like structures of mRNAs and is only present at low stoichiometries (PubMed:29072297, PubMed:29107537).
Subcellular Location	Nucleus
Disorder	0.9684,0.9777,0.9777,0.9777,0.9836,0.9816,0.9801,0.9801,0.9783,0.9593,0.9562,0.9657,0.9657,0.9664,0.9308,0.8966,0.8565,0.7843,0.7331,0.7250,0.6906,0.6906,0.5707,0.4766,0.4541,0.4017,0.3460,0.3494,0.2884,0.2988,0.3529,0.3494,0.3321,0.3182,0.2609,0.3356,0.3019,0.3566,0.4087,0.4256,0.3529,0.2715,0.2002,0.1914,0.2680,0.2918,0.2541,0.2436,0.2364,0.2988,0.2918,0.2224,0.2292,0.2364,0.2328,0.2034,0.2094,0.2328,0.2258,0.2328,0.2258,0.3053,0.3774,0.3774,0.4441,0.4725,0.4476,0.4901,0.5493,0.5493,0.5419,0.5456,0.6806,0.6755,0.6482,0.6755,0.7755,0.7629,0.8313,0.8085,0.8125,0.8085,0.8125,0.8279,0.8894,0.8942,0.8013,0.7505,0.7629,0.7799,0.7799,0.7629,0.7595,0.7331,0.7250,0.6620,0.6576,0.6661,0.6806,0.6755,0.6043,0.5951,0.5620,0.4725,0.4507,0.4507,0.4330,0.4979,0.4766,0.4652,0.4582,0.4652,0.4801,0.3983,0.3286,0.3392,0.4186,0.3426,0.2609,0.2680,0.2752,0.3460,0.3494,0.3740,0.3566,0.3667,0.3704,0.3704,0.3740,0.4619,0.3740,0.3460,0.3460,0.3426,0.4149,0.3872,0.3053,0.2918,0.3599,0.4256,0.4119,0.3948,0.3872,0.3019,0.3149,0.3774,0.2951,0.2129,0.2193,0.1643,0.1137,0.1791,0.2328,0.2224,0.2193,0.2292,0.2399,0.2436,0.2470,0.1791,0.1583,0.1007,0.0618,0.0531,0.0948,0.0948,0.1349,0.1942,0.2609,0.1852,0.2503,0.3182,0.2849,0.2609,0.1759,0.1823,0.1759,0.1759,0.2129,0.2224,0.2645,0.2164,0.3053,0.3117,0.3392,0.3426,0.2436,0.2224,0.1942,0.1969,0.2849,0.2680,0.2258,0.1881,0.1323,0.1759,0.1852,0.1852,0.1942,0.1942,0.1823,0.1528,0.1671,0.1115,0.1702,0.1476,0.1162,0.1501,0.1611,0.1914,0.1643,0.1528,0.1583,0.1115,0.1702,0.2224,0.1914,0.1184,0.1251,0.1275,0.0929,0.1115,0.1671,0.2193,0.2951,0.3215,0.2951,0.3356,0.3426,0.3019,0.3019,0.3117,0.2399,0.1554,0.2470,0.1611,0.1881,0.2541,0.3286,0.2258,0.2292,0.3182,0.2884,0.2258,0.1528,0.1671,0.0870,0.1424,0.0967,0.1206,0.1349,0.0967,0.1229,0.1791,0.2064,0.1528,0.2470,0.2193,0.2292,0.1501,0.2328,0.2752,0.2680,0.2436,0.2470,0.3286,0.3149,0.4220,0.4256,0.4864,0.4864,0.4940,0.5342,0.4507,0.3910,0.4766,0.5707,0.5577,0.5707,0.5665,0.6991,0.6043,0.6576,0.6906,0.7163,0.8050,0.7799,0.7755,0.7799,0.7547,0.7799,0.7799,0.7951,0.8343,0.8894,0.9106,0.8828,0.8792,0.8596,0.8765,0.8872,0.8828,0.9329,0.9249,0.9329,0.9433,0.9415,0.9577,0.9649,0.9593,0.9433,0.9415,0.9381,0.8828,0.8681,0.8792,0.9057,0.9362,0.9346,0.9488,0.9287,0.9211,0.9381,0.9287,0.9329,0.9126,0.9039,0.8942,0.8792,0.8623,0.8681,0.8162,0.7163,0.7250,0.8235,0.8198,0.8198,0.7982,0.7595,0.7547,0.7672,0.7916,0.7982,0.7547,0.7547,0.7331,0.7459,0.6620,0.6806,0.6661,0.6531,0.6089,0.6269,0.6375,0.6227,0.6227,0.6269,0.6269,0.6089,0.6375,0.6227,0.5342,0.4441,0.3807,0.3667,0.3740,0.3774,0.2817,0.3494,0.3704,0.3948,0.4476,0.4051,0.4087,0.4149,0.4149,0.3426,0.2918,0.2918,0.2224,0.1671,0.1501,0.2292,0.2988,0.3460,0.3948,0.3087,0.2645,0.3053,0.2258,0.1323,0.1373,0.0734,0.1028,0.1501,0.2258,0.1731,0.1731,0.2328,0.1501,0.1643,0.2094,0.2224,0.1424,0.1424,0.1528,0.1298,0.2034,0.2503,0.2470,0.2436,0.3356,0.2575,0.3286,0.2680,0.2575,0.2328,0.2988,0.2503,0.1791,0.2541,0.3356,0.2575,0.2715,0.2752,0.2094,0.2258,0.2364,0.2328,0.2258,0.2817,0.3840,0.3704,0.3667,0.3019,0.3392,0.3392,0.3286,0.3249,0.4369,0.5055,0.4186,0.3356,0.3426,0.3249,0.3807,0.3356,0.3117,0.2470,0.2193,0.1942,0.1969,0.1823,0.1251,0.1759,0.2094,0.2399,0.2503,0.2436,0.1731,0.1702,0.1643,0.2503,0.2918,0.3599,0.3667,0.2988,0.4220,0.4119,0.4725,0.5176,0.5577,0.5620,0.5620,0.6991,0.6661,0.6661,0.6482,0.6322,0.6375,0.7289,0.6089,0.6531,0.6482,0.6806,0.6991,0.6851,0.7718,0.7505,0.7505,0.7459,0.7209,0.7036,0.6712,0.6269,0.5493,0.5901
ExposeBuried	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,1,1,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,0,1,1,1,1,0,1,0,1,1,0,0,1,1,0,0,1,1,1,1,1,0,1,1,1,0,1,0,0,1,1,1,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,1,0,1,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,1,0,1,1,1,1,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,1,0,0,1,1,1,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
SurfaceAccessbility	0.795,0.701,0.424,0.625,0.568,0.705,0.578,0.435,0.404,0.380,0.511,0.337,0.636,0.298,0.447,0.458,0.502,0.284,0.361,0.077,0.417,0.554,0.298,0.383,0.095,0.101,0.099,0.086,0.310,0.249,0.528,0.470,0.104,0.123,0.460,0.201,0.145,0.389,0.170,0.443,0.438,0.425,0.482,0.542,0.153,0.395,0.159,0.514,0.402,0.326,0.113,0.110,0.142,0.060,0.279,0.287,0.108,0.124,0.245,0.294,0.390,0.246,0.195,0.244,0.136,0.126,0.396,0.117,0.320,0.518,0.504,0.414,0.537,0.205,0.479,0.334,0.551,0.545,0.517,0.455,0.676,0.602,0.311,0.438,0.373,0.593,0.233,0.500,0.692,0.347,0.425,0.402,0.637,0.506,0.383,0.411,0.123,0.212,0.526,0.606,0.443,0.539,0.464,0.473,0.500,0.115,0.344,0.534,0.654,0.249,0.097,0.514,0.291,0.081,0.511,0.694,0.542,0.544,0.104,0.517,0.178,0.531,0.564,0.068,0.041,0.423,0.369,0.053,0.114,0.639,0.512,0.331,0.346,0.353,0.117,0.394,0.486,0.382,0.321,0.542,0.201,0.209,0.457,0.471,0.483,0.232,0.118,0.512,0.544,0.402,0.452,0.541,0.449,0.104,0.450,0.086,0.061,0.050,0.150,0.062,0.105,0.332,0.316,0.424,0.256,0.254,0.071,0.068,0.114,0.037,0.069,0.102,0.110,0.077,0.382,0.496,0.462,0.474,0.469,0.165,0.447,0.339,0.250,0.292,0.154,0.398,0.193,0.057,0.126,0.346,0.090,0.101,0.281,0.140,0.299,0.385,0.100,0.402,0.301,0.443,0.390,0.330,0.179,0.072,0.047,0.063,0.262,0.117,0.027,0.073,0.113,0.066,0.051,0.065,0.104,0.102,0.094,0.126,0.477,0.388,0.190,0.376,0.316,0.151,0.180,0.185,0.055,0.052,0.180,0.049,0.122,0.294,0.408,0.458,0.308,0.241,0.127,0.283,0.109,0.091,0.210,0.184,0.066,0.135,0.312,0.128,0.164,0.459,0.333,0.099,0.097,0.390,0.191,0.103,0.206,0.525,0.134,0.270,0.160,0.530,0.388,0.096,0.357,0.388,0.130,0.095,0.314,0.240,0.248,0.133,0.325,0.202,0.439,0.247,0.167,0.496,0.566,0.570,0.352,0.539,0.486,0.430,0.292,0.208,0.187,0.532,0.590,0.485,0.665,0.355,0.419,0.196,0.576,0.565,0.457,0.534,0.319,0.491,0.638,0.576,0.610,0.482,0.569,0.630,0.383,0.246,0.358,0.624,0.207,0.334,0.686,0.607,0.656,0.328,0.455,0.682,0.381,0.493,0.651,0.231,0.182,0.615,0.344,0.081,0.485,0.578,0.375,0.398,0.735,0.365,0.578,0.323,0.310,0.586,0.663,0.472,0.451,0.511,0.481,0.476,0.581,0.240,0.144,0.538,0.554,0.390,0.528,0.551,0.463,0.490,0.603,0.663,0.455,0.311,0.522,0.444,0.227,0.138,0.495,0.123,0.162,0.264,0.176,0.109,0.377,0.572,0.422,0.484,0.205,0.488,0.110,0.069,0.057,0.065,0.060,0.159,0.240,0.136,0.219,0.171,0.168,0.191,0.074,0.040,0.102,0.207,0.058,0.077,0.349,0.144,0.086,0.144,0.352,0.510,0.276,0.225,0.071,0.076,0.050,0.105,0.030,0.306,0.169,0.364,0.518,0.223,0.060,0.160,0.491,0.030,0.105,0.297,0.357,0.042,0.332,0.725,0.433,0.454,0.256,0.154,0.107,0.266,0.084,0.282,0.096,0.218,0.452,0.295,0.104,0.140,0.450,0.456,0.152,0.486,0.194,0.136,0.364,0.593,0.471,0.551,0.322,0.237,0.351,0.075,0.088,0.128,0.256,0.296,0.369,0.276,0.139,0.128,0.078,0.058,0.159,0.125,0.087,0.198,0.102,0.117,0.167,0.471,0.468,0.153,0.511,0.301,0.445,0.383,0.451,0.170,0.477,0.555,0.493,0.255,0.566,0.365,0.172,0.584,0.528,0.335,0.588,0.381,0.622,0.582,0.377,0.342,0.375,0.536,0.519,0.469,0.587,0.099,0.490,0.688,0.616,0.747,0.930
