UniprotID	Q96K76-4
Accession	Q96K76;B3KXF5;E9PM46;Q658U0;Q86Y73;Q8TEP6;Q9BWI0;Q9NWN1
EntryName	UBP47_HUMAN
ProteinName	Ubiquitin carboxyl-terminal hydrolase 47 (EC 3.4.19.12) (Deubiquitinating enzyme 47) (Ubiquitin thioesterase 47) (Ubiquitin-specific-processing protease 47)
GeneName	USP47
Length	1355
Function	Ubiquitin-specific protease that specifically deubiquitinates monoubiquitinated DNA polymerase beta (POLB), stabilizing POLB thereby playing a role in base-excision repair (BER). Acts as a regulator of cell growth and genome integrity. May also indirectly regulate CDC25A expression at a transcriptional level.
Subcellular Location	Cytoplasm
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.41356012
pNuLoCRegion	
