UniprotID	Q75T13-2
Accession	Q75T13;Q4G0R8;Q4ZG47;Q53SM0;Q6AW92;Q6UWV4;Q9HA24
EntryName	PGAP1_HUMAN
ProteinName	GPI inositol-deacylase (EC 3.1.-.-) (Post-GPI attachment to proteins factor 1) (hPGAP1)
GeneName	PGAP1 UNQ3024/PRO9822
Length	748
Function	Involved in inositol deacylation of GPI-anchored proteins. GPI inositol deacylation may important for efficient transport of GPI-anchored proteins from the endoplasmic reticulum to the Golgi (By similarity).
Subcellular Location	Endoplasmic reticulum membrane
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.010028121
pNuLoCRegion	
