UniprotID	Q9Y5H7-2
Accession	Q9Y5H7;O75284;Q8N4R3
EntryName	PCDA5_HUMAN
ProteinName	Protocadherin alpha-5 (PCDH-alpha-5)
GeneName	PCDHA5 CNRS6
Length	816
Function	Potential calcium-dependent cell-adhesion protein. May be involved in the establishment and maintenance of specific neuronal connections in the brain.
Subcellular Location	Cell membrane
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.019834684
pNuLoCRegion	
