UniprotID	Q9NZQ3-3
Accession	Q9NZQ3;B4DFL5;Q6GU34;Q6SPF3;Q8TC10;Q9UGM8
EntryName	SPN90_HUMAN
ProteinName	NCK-interacting protein with SH3 domain (54 kDa VacA-interacting protein) (54 kDa vimentin-interacting protein) (VIP54) (90 kDa SH3 protein interacting with Nck) (AF3p21) (Dia-interacting protein 1) (DIP-1) (Diaphanous protein-interacting protein) (SH3 adapter protein SPIN90) (WASP-interacting SH3-domain protein) (WISH) (Wiskott-Aldrich syndrome protein-interacting protein)
GeneName	NCKIPSD AF3P21 SPIN90
Length	715
Function	Has an important role in stress fiber formation induced by active diaphanous protein homolog 1 (DRF1). Induces microspike formation, in vivo (By similarity). In vitro, stimulates N-WASP-induced ARP2/3 complex activation in the absence of CDC42 (By similarity). May play an important role in the maintenance of sarcomeres and/or in the assembly of myofibrils into sarcomeres. Implicated in regulation of actin polymerization and cell adhesion. Plays a role in angiogenesis.
Subcellular Location	Nucleus
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.6724975
pNuLoCRegion	54...66;146...171;181...191;257...264;350...358
