UniprotID	Q9Y6Q9-4
Accession	Q9Y6Q9;A4LAZ5;Q0VF45;Q5JYD9;Q5JYE0;Q9BR49;Q9UPC9;Q9UPG4;Q9UPG7
EntryName	NCOA3_HUMAN
ProteinName	Nuclear receptor coactivator 3 (NCoA-3) (EC 2.3.1.48) (ACTR) (Amplified in breast cancer 1 protein) (AIB-1) (CBP-interacting protein) (pCIP) (Class E basic helix-loop-helix protein 42) (bHLHe42) (Receptor-associated coactivator 3) (RAC-3) (Steroid receptor coactivator protein 3) (SRC-3) (Thyroid hormone receptor activator molecule 1) (TRAM-1)
GeneName	NCOA3 AIB1 BHLHE42 RAC3 TRAM1
Length	1350
Function	Nuclear receptor coactivator that directly binds nuclear receptors and stimulates the transcriptional activities in a hormone-dependent fashion. Plays a central role in creating a multisubunit coactivator complex, which probably acts via remodeling of chromatin. Involved in the coactivation of different nuclear receptors, such as for steroids (GR and ER), retinoids (RARs and RXRs), thyroid hormone (TRs), vitamin D3 (VDR) and prostanoids (PPARs). Displays histone acetyltransferase activity. Also involved in the coactivation of the NF-kappa-B pathway via its interaction with the NFKB1 subunit.
Subcellular Location	Cytoplasm; Nucleus
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.9588961
pNuLoCRegion	10...40;127...144;1170...1180;1184...1190;1196...1197
