UniprotID	Q8WUI4-4
Accession	Q8WUI4;B3KY08;B4DWI0;B4E0Q5;Q6P1W9;Q6W9G7;Q7Z4K2;Q7Z5I1;Q96K01;Q9BR73;Q9H7L0;Q9NW41;Q9NWA9;Q9NYK9;Q9UFU7
EntryName	HDAC7_HUMAN
ProteinName	Histone deacetylase 7 (HD7) (EC 3.5.1.98) (Histone deacetylase 7A) (HD7a) (Protein deacetylase HDAC7) (EC 3.5.1.-)
GeneName	HDAC7 HDAC7A
Length	922
Function	Responsible for the deacetylation of lysine residues on the N-terminal part of the core histones (H2A, H2B, H3 and H4) (By similarity). Histone deacetylation gives a tag for epigenetic repression and plays an important role in transcriptional regulation, cell cycle progression and developmental events (By similarity). Histone deacetylases act via the formation of large multiprotein complexes (By similarity). Involved in muscle maturation by repressing transcription of myocyte enhancer factors such as MEF2A, MEF2B and MEF2C (By similarity). During muscle differentiation, it shuttles into the cytoplasm, allowing the expression of myocyte enhancer factors (By similarity). May be involved in Epstein-Barr virus (EBV) latency, possibly by repressing the viral BZLF1 gene (PubMed:12239305). Positively regulates the transcriptional repressor activity of FOXP3 (PubMed:17360565). Serves as a corepressor of RARA, causing its deacetylation and inhibition of RARE DNA element binding (PubMed:28167758). In association with RARA, plays a role in the repression of microRNA-10a and thereby in the inflammatory response (PubMed:28167758). Also acetylates non-histone proteins, such as ALKBH5 (PubMed:37369679).
Subcellular Location	Nucleus; Cytoplasm
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.8107911
pNuLoCRegion	9...10
