UniprotID	Q8TES7-5
Accession	Q8TES7;B5MEM5;Q96IF6;Q96JG4;Q96MA8
EntryName	FBF1_HUMAN
ProteinName	Fas-binding factor 1 (FBF-1) (Protein albatross)
GeneName	FBF1 ALB KIAA1863
Length	1133
Function	Keratin-binding protein required for epithelial cell polarization. Involved in apical junction complex (AJC) assembly via its interaction with PARD3. Required for ciliogenesis.
Subcellular Location	Cytoplasm; Cytoskeleton; Microtubule organizing center; Centrosome; Centriole; Cytoplasm; Cytoskeleton; Spindle pole; Cell junction
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.42899898
pNuLoCRegion	24...45;59...73;105...107
