UniprotID	Q9BXF3-3
Accession	Q9BXF3;A8MS90;A8MX16;Q658Z4;Q96P58;Q9C0C3
EntryName	CECR2_HUMAN
ProteinName	Chromatin remodeling regulator CECR2 (Cat eye syndrome critical region protein 2)
GeneName	CECR2 KIAA1740
Length	1464
Function	Regulatory subunit of the ATP-dependent CERF-1 and CERF-5 ISWI chromatin remodeling complexes, which form ordered nucleosome arrays on chromatin and facilitate access to DNA during DNA-templated processes such as DNA replication, transcription, and repair (PubMed:15640247, PubMed:22464331, PubMed:26365797, PubMed:28801535). The complexes do not have the ability to slide mononucleosomes to the center of a DNA template (PubMed:28801535). The CERF-1 ISWI chromatin remodeling complex has a lower ATP hydrolysis rate than the CERF-5 ISWI chromatin remodeling complex (PubMed:28801535). Plays a role in various processes during development: required during embryogenesis for neural tube closure and inner ear development. In adults, required for spermatogenesis, via the formation of ISWI-type chromatin complexes (By similarity). In histone-modifying complexes, CECR2 recognizes and binds acylated histones: binds histones that are acetylated and/or butyrylated (PubMed:22464331, PubMed:26365797). May also be involved through its interaction with LRPPRC in the integration of cytoskeletal network with vesicular trafficking, nucleocytosolic shuttling, transcription, chromosome remodeling and cytokinesis (PubMed:11827465).
Subcellular Location	Nucleus
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.9598914
pNuLoCRegion	157...167;196...217;370...393
