UniprotID	Q6T4P5-2
Accession	Q6T4P5;Q86XQ4;Q96EH1;Q9BQF9;Q9HAJ4
EntryName	PLPR3_HUMAN
ProteinName	Phospholipid phosphatase-related protein type 3 (Inactive phospholipid phosphatase PLPPR3) (Lipid phosphate phosphatase-related protein type 3) (PAP-2-like protein 2) (Plasticity-related gene 2 protein) (PRG-2)
GeneName	PLPPR3 LPPR3 PHP2 PRG2
Length	719
Function	
Subcellular Location	Membrane
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.10234399
pNuLoCRegion	
