UniprotID	Q9Y5I2-3
Accession	Q9Y5I2;A1L493;O75280;Q9NRU2
EntryName	PCDAA_HUMAN
ProteinName	Protocadherin alpha-10 (PCDH-alpha-10)
GeneName	PCDHA10 CNRS8
Length	844
Function	Potential calcium-dependent cell-adhesion protein. May be involved in the establishment and maintenance of specific neuronal connections in the brain.
Subcellular Location	Cell membrane; Secreted
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.031409677
pNuLoCRegion	
