UniprotID	Q5M775-2
Accession	Q5M775;B4DHH0;B7WNS8;Q5IBP1;Q5IBP2;Q5IBP3;Q5IBP4;Q5M772;Q5M773;Q5M774;Q86XT8;Q8N4U4;Q8WU84;Q9HCQ3
EntryName	CYTSB_HUMAN
ProteinName	Cytospin-B (Nuclear structure protein 5) (NSP5) (Sperm antigen HCMOGT-1) (Sperm antigen with calponin homology and coiled-coil domains 1)
GeneName	SPECC1 CYTSB NSP5
Length	790
Function	
Subcellular Location	Nucleus; Membrane; Membrane; Membrane
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.9631764
pNuLoCRegion	1...27
