UniprotID	Q9BZZ2-3
Accession	Q9BZZ2;Q96DL4;Q9GZS5;Q9H1H6;Q9H1H7;Q9H7L7
EntryName	SN_HUMAN
ProteinName	Sialoadhesin (Sialic acid-binding Ig-like lectin 1) (Siglec-1) (CD antigen CD169)
GeneName	SIGLEC1 SN
Length	1701
Function	Macrophage-restricted adhesion molecule that mediates sialic-acid dependent binding to lymphocytes, including granulocytes, monocytes, natural killer cells, B-cells and CD8 T-cells. Plays a crucial role in limiting bacterial dissemination by engaging sialylated bacteria to promote effective phagocytosis and antigen presentation for the adaptive immune response (PubMed:12940982, PubMed:33489013). Mediates the uptake of various enveloped viruses via sialic acid recognition and subsequently induces the formation of intracellular compartments filled with virions (VCCs) (PubMed:28129379). In turn, enhances macrophage-to-T-cell transmission of several viruses including HIV-1 or SARS-CoV-2 (PubMed:28129379, PubMed:34782760). Acts as an endocytic receptor mediating clathrin dependent endocytosis. Preferentially binds to alpha-2,3-linked sialic acid (PubMed:12940982). Binds to SPN/CD43 on T-cells (By similarity). May play a role in hemopoiesis. Plays a role in the inhibition of antiviral innate immune by promoting TBK1 degradation via TYROBP and TRIM27-mediated ubiquitination (PubMed:26358190).
Subcellular Location	Cell membrane; Secreted
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.102951385
pNuLoCRegion	
