UniprotID	Q9Y5G3-2
Accession	Q9Y5G3;Q3SY75;Q9Y5C8
EntryName	PCDGD_HUMAN
ProteinName	Protocadherin gamma-B1 (PCDH-gamma-B1)
GeneName	PCDHGB1
Length	810
Function	Potential calcium-dependent cell-adhesion protein. May be involved in the establishment and maintenance of specific neuronal connections in the brain.
Subcellular Location	Cell membrane
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.026565535
pNuLoCRegion	
