UniprotID	Q7RTT9
Accession	Q7RTT9;Q6PJ08;Q86WY8;Q8NAR3;Q8NBM2
EntryName	S29A4_HUMAN
ProteinName	Equilibrative nucleoside transporter 4 (hENT4) (Plasma membrane monoamine transporter) (PMAT) (Solute carrier family 29 member 4)
GeneName	SLC29A4 ENT4 PMAT PSEC0113
Length	530
Function	Electrogenic voltage-dependent transporter that mediates the transport of a variety of endogenous bioactive amines, cationic xenobiotics and drugs (PubMed:15448143, PubMed:16099839, PubMed:16873718, PubMed:17018840, PubMed:17121826, PubMed:20592246, PubMed:20858707, PubMed:22396231, PubMed:31537831). Utilizes the physiologic inside-negative membrane potential as a driving force to facilitate cellular uptake of organic cations (PubMed:15448143, PubMed:20592246, PubMed:22396231). Functions as a Na(+)- and Cl(-)-independent bidirectional transporter (PubMed:15448143, PubMed:16099839, PubMed:22396231, PubMed:31537831). Substrate transport is pH-dependent and enhanced under acidic condition, which is most likely the result of allosteric changes in the transporter structure (PubMed:16873718, PubMed:17018840, PubMed:20592246, PubMed:22396231, PubMed:31537831). Implicated in monoamine neurotransmitters uptake such as serotonin, dopamine, adrenaline/epinephrine, noradrenaline/norepinephrine, histamine and tyramine, thereby supporting a role in homeostatic regulation of aminergic neurotransmission in the central nervous system (PubMed:15448143, PubMed:16099839, PubMed:17018840, PubMed:17121826, PubMed:20858707, PubMed:22396231). Also responsible for the uptake of bioactive amines and drugs through the blood-cerebrospinal fluid (CSF) barrier, from the CSF into choroid plexus epithelial cells, thereby playing a significant role in the clearance of cationic neurotoxins, xenobiotics and metabolic waste in the brain (By similarity). Involved in bidirectional transport of the purine nucleoside adenosine and plays a role in the regulation of extracellular adenosine concentrations in cardiac tissues, in particular during ischemia (PubMed:16873718, PubMed:20592246, PubMed:31537831). May be involved in organic cation uptake from the tubular lumen into renal tubular cells, thereby contributing to organic cation reabsorption in the kidney (PubMed:17018840). Also transports guanidine (PubMed:16099839).
Subcellular Location	Cell membrane; Apical cell membrane
Disorder	0.5533,0.6531,0.6661,0.5419,0.5017,0.5211,0.5493,0.6136,0.6531,0.7036,0.7120,0.6755,0.5707,0.5098,0.5854,0.4409,0.4507,0.3053,0.3215,0.3983,0.3667,0.3529,0.2292,0.2575,0.3529,0.3494,0.3117,0.3321,0.2645,0.2129,0.1942,0.1942,0.2752,0.3460,0.3053,0.3087,0.3948,0.3872,0.5176,0.4186,0.4541,0.4149,0.2752,0.3704,0.3599,0.3426,0.3840,0.3249,0.3117,0.3740,0.4441,0.3494,0.3840,0.3840,0.4017,0.4940,0.3872,0.4220,0.3807,0.2752,0.2541,0.1137,0.1137,0.1702,0.0967,0.0473,0.0349,0.0327,0.0364,0.0327,0.0136,0.0082,0.0076,0.0076,0.0054,0.0054,0.0053,0.0048,0.0037,0.0042,0.0060,0.0064,0.0102,0.0083,0.0072,0.0097,0.0148,0.0178,0.0108,0.0188,0.0188,0.0424,0.0765,0.0734,0.0364,0.0313,0.0313,0.0231,0.0506,0.0555,0.0543,0.0258,0.0227,0.0127,0.0143,0.0191,0.0119,0.0102,0.0090,0.0096,0.0062,0.0047,0.0048,0.0050,0.0054,0.0050,0.0059,0.0061,0.0072,0.0054,0.0073,0.0053,0.0072,0.0105,0.0168,0.0138,0.0178,0.0235,0.0294,0.0205,0.0178,0.0174,0.0235,0.0125,0.0113,0.0198,0.0188,0.0163,0.0079,0.0054,0.0071,0.0048,0.0051,0.0053,0.0041,0.0027,0.0027,0.0027,0.0023,0.0014,0.0019,0.0027,0.0038,0.0044,0.0050,0.0038,0.0030,0.0028,0.0040,0.0044,0.0054,0.0048,0.0054,0.0067,0.0066,0.0066,0.0089,0.0080,0.0076,0.0086,0.0168,0.0115,0.0117,0.0115,0.0111,0.0138,0.0119,0.0096,0.0168,0.0097,0.0168,0.0214,0.0205,0.0184,0.0223,0.0218,0.0364,0.0253,0.0662,0.0704,0.1137,0.0662,0.0780,0.0799,0.0749,0.0870,0.0888,0.1969,0.2541,0.2575,0.2817,0.2224,0.1349,0.1759,0.1852,0.1554,0.1554,0.0851,0.0929,0.0929,0.0888,0.0518,0.0483,0.0380,0.0443,0.0473,0.0473,0.0494,0.0372,0.0473,0.0506,0.0473,0.0349,0.0320,0.0165,0.0171,0.0123,0.0119,0.0138,0.0188,0.0113,0.0123,0.0123,0.0123,0.0133,0.0073,0.0054,0.0039,0.0039,0.0034,0.0026,0.0021,0.0027,0.0037,0.0051,0.0074,0.0066,0.0067,0.0052,0.0045,0.0038,0.0050,0.0049,0.0065,0.0096,0.0141,0.0287,0.0506,0.0870,0.0909,0.1501,0.2292,0.3249,0.3249,0.2292,0.2364,0.2328,0.3599,0.3286,0.4220,0.4441,0.5533,0.4619,0.4507,0.4409,0.4186,0.3426,0.2645,0.2328,0.2364,0.2399,0.1731,0.1671,0.0676,0.0749,0.1251,0.1424,0.1162,0.1323,0.1823,0.1070,0.1501,0.1702,0.2503,0.2715,0.2715,0.2884,0.3631,0.4441,0.4766,0.5017,0.4541,0.5254,0.5493,0.6183,0.6089,0.6183,0.5758,0.6269,0.5951,0.5951,0.5854,0.5707,0.5342,0.3774,0.3667,0.2951,0.2918,0.2849,0.3019,0.3053,0.1969,0.2436,0.2503,0.2292,0.1852,0.1942,0.2034,0.1007,0.0985,0.0780,0.0518,0.0543,0.0380,0.0364,0.0851,0.0405,0.0424,0.0235,0.0194,0.0171,0.0119,0.0109,0.0070,0.0062,0.0065,0.0083,0.0056,0.0054,0.0060,0.0054,0.0049,0.0068,0.0066,0.0061,0.0046,0.0047,0.0048,0.0046,0.0043,0.0032,0.0035,0.0042,0.0042,0.0062,0.0069,0.0071,0.0060,0.0084,0.0083,0.0085,0.0067,0.0062,0.0060,0.0092,0.0099,0.0099,0.0102,0.0102,0.0100,0.0099,0.0141,0.0107,0.0082,0.0074,0.0073,0.0054,0.0050,0.0073,0.0048,0.0040,0.0052,0.0071,0.0070,0.0052,0.0044,0.0052,0.0052,0.0052,0.0056,0.0076,0.0074,0.0090,0.0101,0.0151,0.0287,0.0151,0.0148,0.0123,0.0079,0.0127,0.0111,0.0076,0.0076,0.0085,0.0092,0.0067,0.0056,0.0083,0.0055,0.0046,0.0033,0.0034,0.0024,0.0019,0.0013,0.0014,0.0019,0.0026,0.0025,0.0037,0.0033,0.0032,0.0044,0.0042,0.0056,0.0061,0.0066,0.0102,0.0065,0.0065,0.0065,0.0091,0.0091,0.0092,0.0100,0.0171,0.0093,0.0093,0.0097,0.0123,0.0073,0.0056,0.0076,0.0073,0.0060,0.0060,0.0060,0.0060,0.0042,0.0050,0.0062,0.0095,0.0099,0.0109,0.0178,0.0275,0.0294,0.0631,0.0704,0.0780,0.0414,0.0662,0.1399,0.1528,0.1643,0.1823,0.1671,0.1476,0.2364,0.2193,0.2094,0.2470,0.2436,0.1528,0.2258,0.1476,0.1275,0.1206,0.0870,0.0531,0.0349,0.0327,0.0214,0.0227,0.0119,0.0113,0.0097,0.0096,0.0143,0.0157,0.0231,0.0300,0.0300,0.0300,0.0253,0.0146,0.0240,0.0191,0.0191,0.0248,0.0294,0.0405,0.0799,0.1528,0.0835,0.0967,0.0780,0.1323,0.0749,0.0568,0.0405,0.0424,0.0341,0.0263,0.0202,0.0414,0.0765,0.0581,0.0662
ExposeBuried	1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,0,1,1,1,1,0,1,0,1,1,0,0,1,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,1,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1
SurfaceAccessbility	0.813,0.553,0.611,0.416,0.438,0.462,0.572,0.393,0.166,0.630,0.564,0.380,0.583,0.268,0.417,0.532,0.369,0.503,0.495,0.358,0.311,0.111,0.103,0.101,0.197,0.083,0.207,0.112,0.348,0.211,0.403,0.316,0.229,0.569,0.561,0.347,0.394,0.448,0.409,0.356,0.548,0.418,0.601,0.449,0.157,0.429,0.288,0.600,0.533,0.201,0.560,0.326,0.109,0.164,0.586,0.469,0.150,0.175,0.686,0.566,0.445,0.358,0.366,0.648,0.418,0.408,0.124,0.158,0.087,0.075,0.091,0.071,0.110,0.098,0.126,0.171,0.159,0.153,0.114,0.184,0.203,0.108,0.095,0.189,0.133,0.284,0.156,0.092,0.112,0.265,0.219,0.216,0.496,0.193,0.081,0.345,0.392,0.492,0.180,0.529,0.523,0.393,0.330,0.290,0.150,0.081,0.308,0.188,0.107,0.137,0.129,0.095,0.087,0.093,0.117,0.082,0.114,0.092,0.071,0.112,0.122,0.076,0.159,0.227,0.119,0.062,0.175,0.439,0.194,0.061,0.299,0.314,0.144,0.073,0.297,0.075,0.077,0.132,0.169,0.129,0.127,0.142,0.116,0.109,0.158,0.175,0.143,0.152,0.131,0.093,0.136,0.094,0.068,0.271,0.065,0.283,0.132,0.461,0.196,0.302,0.324,0.393,0.485,0.305,0.118,0.109,0.141,0.098,0.107,0.079,0.176,0.074,0.074,0.075,0.112,0.117,0.338,0.213,0.171,0.219,0.262,0.133,0.160,0.404,0.286,0.309,0.119,0.185,0.207,0.250,0.289,0.286,0.311,0.148,0.235,0.492,0.457,0.257,0.266,0.459,0.199,0.135,0.177,0.360,0.305,0.445,0.273,0.163,0.165,0.161,0.101,0.105,0.156,0.112,0.052,0.155,0.271,0.070,0.067,0.376,0.294,0.215,0.401,0.380,0.445,0.633,0.287,0.442,0.388,0.330,0.109,0.072,0.115,0.150,0.098,0.113,0.118,0.137,0.098,0.108,0.099,0.125,0.074,0.068,0.044,0.089,0.077,0.061,0.155,0.113,0.157,0.191,0.414,0.396,0.282,0.478,0.210,0.197,0.314,0.244,0.226,0.311,0.456,0.416,0.488,0.530,0.554,0.471,0.511,0.555,0.527,0.290,0.370,0.357,0.081,0.403,0.342,0.244,0.396,0.256,0.212,0.303,0.232,0.291,0.491,0.557,0.185,0.283,0.559,0.417,0.623,0.472,0.541,0.292,0.588,0.387,0.475,0.242,0.601,0.336,0.223,0.455,0.598,0.677,0.648,0.526,0.287,0.533,0.656,0.526,0.460,0.528,0.521,0.596,0.386,0.385,0.319,0.438,0.532,0.459,0.404,0.384,0.222,0.451,0.159,0.570,0.265,0.603,0.491,0.432,0.591,0.207,0.537,0.636,0.650,0.447,0.276,0.501,0.162,0.449,0.414,0.237,0.190,0.473,0.483,0.248,0.282,0.277,0.174,0.152,0.409,0.361,0.253,0.188,0.215,0.353,0.151,0.073,0.138,0.098,0.057,0.087,0.117,0.122,0.124,0.102,0.134,0.125,0.131,0.107,0.102,0.271,0.249,0.067,0.201,0.352,0.345,0.068,0.517,0.527,0.215,0.320,0.500,0.419,0.461,0.168,0.153,0.131,0.078,0.083,0.060,0.083,0.099,0.122,0.124,0.218,0.100,0.170,0.296,0.126,0.097,0.213,0.408,0.265,0.102,0.307,0.337,0.191,0.236,0.394,0.619,0.182,0.615,0.372,0.520,0.286,0.080,0.138,0.133,0.063,0.076,0.051,0.064,0.165,0.116,0.047,0.073,0.064,0.095,0.049,0.067,0.068,0.053,0.033,0.274,0.211,0.426,0.604,0.478,0.187,0.198,0.236,0.134,0.467,0.250,0.486,0.147,0.119,0.072,0.068,0.085,0.064,0.122,0.109,0.102,0.129,0.142,0.122,0.290,0.364,0.237,0.155,0.093,0.141,0.173,0.051,0.105,0.143,0.084,0.152,0.224,0.352,0.658,0.492,0.078,0.432,0.524,0.581,0.339,0.332,0.591,0.207,0.155,0.231,0.159,0.114,0.088,0.112,0.076,0.113,0.147,0.081,0.116,0.129,0.128,0.209,0.080,0.157,0.228,0.111,0.084,0.264,0.148,0.057,0.195,0.178,0.300,0.115,0.275,0.410,0.478,0.290,0.431,0.313,0.334,0.075,0.141,0.246,0.152,0.366,0.342,0.343,0.601,0.363,0.420,0.255,0.259,0.422,0.576,0.679
