UniprotID	Q1MSJ5-1
Accession	Q1MSJ5;A6ND63;Q70F00;Q8TBC1
EntryName	CSPP1_HUMAN
ProteinName	Centrosome and spindle pole-associated protein 1
GeneName	CSPP1 CSPP
Length	1221
Function	May play a role in cell-cycle-dependent microtubule organization.
Subcellular Location	Cytoplasm; Cytoskeleton; Microtubule organizing center; Centrosome; Cytoplasm; Cytoskeleton; Spindle; Cytoplasm; Cytoskeleton; Spindle pole; Cell projection; Cilium
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.58537394
pNuLoCRegion	
