UniprotID	Q7Z4K8-5
Accession	Q7Z4K8;A0AVI6;B1AVQ4;Q5VT60;Q5VT62;Q6NT17;Q6NT41;Q6ZRL7;Q9H5P2
EntryName	TRI46_HUMAN
ProteinName	Tripartite motif-containing protein 46 (Gene Y protein) (GeneY) (Tripartite, fibronectin type-III and C-terminal SPRY motif protein)
GeneName	TRIM46 TRIFIC
Length	736
Function	Microtubule-associated protein that is involved in the formation of parallel microtubule bundles linked by cross-bridges in the proximal axon. Required for the uniform orientation and maintenance of the parallel microtubule fascicles, which are important for efficient cargo delivery and trafficking in axons. Thereby also required for proper axon specification, the establishment of neuronal polarity and proper neuronal migration.
Subcellular Location	Cell projection; Axon; Cytoplasm; Cytoskeleton
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.7226504
pNuLoCRegion	90...97;174...195;265...268;440...443
