UniprotID	Q6P2D8-3
Accession	Q6P2D8;B5MD90;J3KNJ1;Q7RTT7;Q7Z463;Q7Z4U0
EntryName	XRRA1_HUMAN
ProteinName	X-ray radiation resistance-associated protein 1
GeneName	XRRA1
Length	778
Function	May be involved in the response of cells to X-ray radiation.
Subcellular Location	Cytoplasm; Nucleus
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.7513412
pNuLoCRegion	261...290;307...311;379...397
