UniprotID	Q9UJA9
Accession	Q9UJA9;Q5TFV2;Q6UX49
EntryName	ENPP5_HUMAN
ProteinName	Ectonucleotide pyrophosphatase/phosphodiesterase family member 5 (E-NPP 5) (NPP-5) (EC 3.1.-.-)
GeneName	ENPP5 UNQ550/PRO1107
Length	477
Function	Can hydrolyze NAD but cannot hydrolyze nucleotide di- and triphosphates. Lacks lysopholipase D activity. May play a role in neuronal cell communication.
Subcellular Location	Secreted; Membrane
Disorder	0.0040,0.0034,0.0039,0.0044,0.0038,0.0047,0.0042,0.0050,0.0062,0.0075,0.0059,0.0069,0.0051,0.0054,0.0058,0.0092,0.0146,0.0263,0.0414,0.0275,0.0356,0.0372,0.0433,0.0531,0.0300,0.0581,0.0605,0.0506,0.0555,0.0258,0.0263,0.0320,0.0194,0.0188,0.0174,0.0108,0.0119,0.0113,0.0120,0.0117,0.0095,0.0141,0.0134,0.0123,0.0099,0.0181,0.0104,0.0105,0.0141,0.0133,0.0168,0.0163,0.0327,0.0372,0.0749,0.0835,0.0851,0.0334,0.0198,0.0174,0.0181,0.0380,0.0209,0.0454,0.0888,0.1206,0.0631,0.1229,0.0704,0.0704,0.0749,0.1162,0.0676,0.0281,0.0349,0.0389,0.0389,0.0555,0.1206,0.1206,0.0799,0.0662,0.0704,0.1373,0.0870,0.0364,0.0398,0.0909,0.0506,0.0909,0.1449,0.1424,0.1373,0.1137,0.2094,0.1583,0.1528,0.1349,0.1048,0.1137,0.1162,0.0948,0.1206,0.1092,0.1028,0.0704,0.0749,0.0817,0.0799,0.1162,0.1162,0.1206,0.0734,0.0364,0.0463,0.0483,0.0948,0.0985,0.1048,0.1206,0.1115,0.1671,0.2680,0.2541,0.2575,0.2292,0.3149,0.3740,0.2399,0.2436,0.2752,0.2752,0.2575,0.2849,0.3983,0.3983,0.3910,0.3740,0.3566,0.2436,0.2988,0.2988,0.3019,0.2034,0.1643,0.1852,0.1323,0.1643,0.2328,0.3426,0.2609,0.2575,0.1528,0.1643,0.2292,0.2292,0.2503,0.2292,0.2292,0.1528,0.1823,0.1791,0.0967,0.0506,0.0948,0.1251,0.1048,0.1942,0.2094,0.1251,0.1349,0.1206,0.1229,0.1449,0.0817,0.0424,0.0227,0.0372,0.0463,0.0568,0.1007,0.1643,0.1162,0.2064,0.3087,0.2988,0.2224,0.2292,0.2328,0.2129,0.2951,0.3087,0.3117,0.2645,0.3494,0.4582,0.4940,0.5254,0.4979,0.4979,0.3872,0.3872,0.3740,0.4119,0.3286,0.3392,0.2575,0.2575,0.1791,0.1702,0.1298,0.0817,0.0676,0.1070,0.1184,0.1137,0.0592,0.0433,0.0780,0.0817,0.0454,0.0835,0.0473,0.0294,0.0188,0.0294,0.0287,0.0555,0.0870,0.1399,0.1007,0.1298,0.2129,0.1611,0.1643,0.2034,0.2258,0.3019,0.3286,0.2292,0.2470,0.2436,0.2436,0.3392,0.3249,0.3286,0.3356,0.3356,0.3356,0.3392,0.2436,0.2918,0.2064,0.1206,0.1759,0.1942,0.1759,0.1823,0.1323,0.1759,0.2292,0.1399,0.1424,0.1554,0.1399,0.2399,0.3249,0.3087,0.2002,0.2002,0.2224,0.2541,0.1611,0.2609,0.3182,0.2258,0.2129,0.2129,0.1643,0.2193,0.2752,0.3149,0.3149,0.3983,0.3053,0.2129,0.1942,0.1914,0.2129,0.3356,0.2609,0.2680,0.3494,0.4507,0.3149,0.3426,0.3321,0.3286,0.2364,0.2783,0.2783,0.2503,0.1528,0.2436,0.2680,0.2399,0.2436,0.2164,0.1611,0.1251,0.1251,0.1914,0.1671,0.0780,0.0765,0.0888,0.0543,0.1070,0.1162,0.1881,0.1731,0.1881,0.2002,0.1823,0.1115,0.0581,0.1028,0.1823,0.2064,0.2680,0.2064,0.2129,0.2064,0.1791,0.2034,0.1759,0.2752,0.3019,0.2817,0.2918,0.2034,0.1070,0.0568,0.0414,0.0817,0.1298,0.2129,0.1823,0.0851,0.0888,0.0870,0.1583,0.0719,0.0631,0.0765,0.1424,0.1399,0.0967,0.1399,0.1424,0.1275,0.2193,0.2503,0.2399,0.2988,0.2129,0.1349,0.0780,0.0948,0.1137,0.0631,0.0704,0.0341,0.0780,0.0646,0.0463,0.0473,0.0581,0.0888,0.0817,0.0817,0.0356,0.0168,0.0306,0.0349,0.0327,0.0662,0.0646,0.0543,0.0605,0.1048,0.1449,0.0967,0.1881,0.1881,0.1501,0.1323,0.1349,0.0719,0.0690,0.0749,0.0749,0.1583,0.1731,0.0929,0.0799,0.0870,0.0780,0.1349,0.1476,0.1373,0.1611,0.1583,0.2292,0.1184,0.1251,0.2002,0.3019,0.2752,0.3740,0.2609,0.2752,0.1759,0.0817,0.0799,0.1399,0.1554,0.1323,0.0749,0.0765,0.1184,0.0631,0.0275,0.0218,0.0111,0.0130,0.0075,0.0048,0.0036,0.0026,0.0017,0.0017,0.0016,0.0023,0.0025,0.0026,0.0025,0.0032,0.0034,0.0033,0.0035,0.0032,0.0032,0.0044,0.0060,0.0068,0.0088,0.0120,0.0269,0.0227,0.0327,0.0799,0.1643,0.0909,0.0473,0.0929,0.1323,0.1115,0.0948,0.0690,0.1162,0.0734,0.0780,0.1399,0.0967,0.0555,0.0704
ExposeBuried	1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,0,1,1,0,1,1,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,1,0,0,1,1,0,0,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1,0,0,1,0,0,0,1,0,1,1,1,0,1,0,1,1,0,0,1,1,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,1,0,0,1,1,1,1,0,0,1,0,0,1,1,0,0,1,0,0,1,1,0,0,1,0,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,1,0,1,1,0,0,1,1,1,1,0,1,0,0,1,1,0,1,0,0,1,0,0,0,1,1,0,1,0,1,1,0,0,1,1,0,1,1,1,1,1,1,0,1,0,0,1,1,1,1,0,0,1,1,0,0,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,0,1,1,0,1,0,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,1,1,1,0,1,1,1,1,0,1,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,1,1
SurfaceAccessbility	0.769,0.522,0.389,0.367,0.164,0.114,0.079,0.071,0.152,0.115,0.064,0.063,0.163,0.125,0.122,0.375,0.344,0.539,0.287,0.434,0.379,0.411,0.222,0.462,0.374,0.588,0.352,0.364,0.289,0.038,0.024,0.025,0.025,0.040,0.040,0.185,0.122,0.089,0.173,0.220,0.363,0.136,0.121,0.416,0.690,0.262,0.735,0.236,0.321,0.271,0.071,0.471,0.346,0.051,0.210,0.640,0.352,0.244,0.164,0.429,0.230,0.538,0.333,0.190,0.323,0.489,0.212,0.313,0.197,0.333,0.419,0.405,0.225,0.354,0.341,0.110,0.143,0.051,0.038,0.049,0.088,0.089,0.205,0.119,0.282,0.557,0.132,0.188,0.272,0.103,0.058,0.404,0.495,0.352,0.193,0.204,0.400,0.345,0.258,0.246,0.486,0.542,0.336,0.253,0.420,0.201,0.387,0.358,0.478,0.555,0.404,0.376,0.202,0.339,0.437,0.155,0.047,0.528,0.602,0.256,0.263,0.248,0.220,0.132,0.129,0.233,0.212,0.306,0.421,0.525,0.449,0.283,0.412,0.141,0.158,0.148,0.086,0.100,0.085,0.207,0.275,0.383,0.529,0.168,0.570,0.196,0.398,0.539,0.356,0.232,0.273,0.503,0.278,0.187,0.282,0.504,0.209,0.595,0.424,0.483,0.218,0.410,0.115,0.373,0.492,0.254,0.079,0.337,0.426,0.086,0.117,0.453,0.160,0.099,0.432,0.577,0.569,0.586,0.484,0.144,0.202,0.028,0.033,0.031,0.020,0.063,0.076,0.181,0.345,0.167,0.323,0.413,0.407,0.189,0.162,0.474,0.338,0.221,0.191,0.545,0.267,0.552,0.512,0.120,0.253,0.616,0.193,0.033,0.480,0.450,0.029,0.167,0.551,0.102,0.035,0.328,0.332,0.031,0.149,0.486,0.137,0.035,0.484,0.592,0.301,0.477,0.233,0.392,0.490,0.267,0.050,0.124,0.025,0.022,0.022,0.032,0.059,0.210,0.164,0.192,0.096,0.394,0.489,0.215,0.263,0.214,0.522,0.245,0.079,0.273,0.332,0.042,0.364,0.602,0.127,0.105,0.562,0.474,0.383,0.417,0.165,0.281,0.146,0.135,0.368,0.421,0.221,0.375,0.224,0.250,0.325,0.157,0.199,0.243,0.578,0.731,0.244,0.497,0.178,0.518,0.479,0.038,0.132,0.590,0.396,0.075,0.541,0.499,0.396,0.452,0.446,0.463,0.086,0.411,0.192,0.200,0.350,0.427,0.640,0.444,0.100,0.172,0.575,0.317,0.126,0.245,0.215,0.463,0.601,0.404,0.639,0.308,0.056,0.412,0.305,0.042,0.124,0.072,0.072,0.077,0.214,0.417,0.308,0.071,0.221,0.068,0.173,0.296,0.319,0.443,0.512,0.551,0.462,0.223,0.402,0.390,0.167,0.429,0.194,0.155,0.209,0.331,0.304,0.503,0.175,0.451,0.463,0.096,0.322,0.234,0.061,0.043,0.212,0.190,0.166,0.112,0.398,0.387,0.083,0.407,0.571,0.545,0.192,0.655,0.315,0.566,0.381,0.123,0.561,0.355,0.172,0.383,0.108,0.099,0.343,0.074,0.055,0.034,0.332,0.084,0.108,0.381,0.081,0.318,0.210,0.246,0.269,0.395,0.326,0.137,0.293,0.197,0.210,0.258,0.062,0.240,0.238,0.099,0.062,0.520,0.364,0.351,0.184,0.358,0.567,0.407,0.196,0.499,0.619,0.327,0.374,0.321,0.276,0.103,0.235,0.114,0.509,0.365,0.432,0.410,0.398,0.277,0.436,0.650,0.287,0.496,0.628,0.631,0.423,0.395,0.215,0.120,0.088,0.051,0.034,0.052,0.078,0.105,0.079,0.117,0.133,0.065,0.068,0.072,0.066,0.090,0.104,0.077,0.075,0.067,0.056,0.039,0.175,0.174,0.074,0.064,0.301,0.466,0.416,0.073,0.392,0.289,0.119,0.388,0.502,0.152,0.184,0.274,0.493,0.076,0.168,0.466,0.384,0.210,0.360,0.691,0.838
