UniprotID	Q3SYG4-7
Accession	Q3SYG4;E9PDC9;P78514;Q7KYS6;Q7KYS7;Q8N570;Q99844;Q99854;Q9Y699;Q9Y6A0
EntryName	PTHB1_HUMAN
ProteinName	Protein PTHB1 (Bardet-Biedl syndrome 9 protein) (Parathyroid hormone-responsive B1 gene protein)
GeneName	BBS9 PTHB1
Length	882
Function	The BBSome complex is thought to function as a coat complex required for sorting of specific membrane proteins to the primary cilia. The BBSome complex is required for ciliogenesis but is dispensable for centriolar satellite function. This ciliogenic function is mediated in part by the Rab8 GDP/GTP exchange factor, which localizes to the basal body and contacts the BBSome. Rab8(GTP) enters the primary cilium and promotes extension of the ciliary membrane. Firstly the BBSome associates with the ciliary membrane and binds to RAB3IP/Rabin8, the guanosyl exchange factor (GEF) for Rab8 and then the Rab8-GTP localizes to the cilium and promotes docking and fusion of carrier vesicles to the base of the ciliary membrane. Required for proper BBSome complex assembly and its ciliary localization.
Subcellular Location	Cytoplasm; Cytoskeleton; Microtubule organizing center; Centrosome; Cell projection; Cilium membrane; Cytoplasm; Cytoplasm; Cytoskeleton; Microtubule organizing center; Centrosome; Centriolar satellite
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.531554
pNuLoCRegion	23...34;58...71;565...566
