UniprotID	Q5JVG2-2
Accession	Q5JVG2;B1AL89;B4DRI2
EntryName	ZN484_HUMAN
ProteinName	Zinc finger protein 484
GeneName	ZNF484
Length	816
Function	May be involved in transcriptional regulation.
Subcellular Location	Nucleus
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.9618116
pNuLoCRegion	20...42;136...148;198...228;311...320;354...391;413...413;419...446;456...501;522...561;567...579;584...613;629...657;659...693;704...734;752...769;807...812
