UniprotID	Q5T3U5-2
Accession	Q5T3U5;Q8NHX7;Q9H7N2;Q9NXY3;Q9UF48
EntryName	MRP7_HUMAN
ProteinName	ATP-binding cassette sub-family C member 10 (EC 7.6.2.2) (EC 7.6.2.3) (Multidrug resistance-associated protein 7)
GeneName	ABCC10 MRP7 SIMRP7
Length	1464
Function	ATP-dependent transporter of the ATP-binding cassette (ABC) family that actively extrudes physiological compounds, and xenobiotics from cells. Lipophilic anion transporter that mediates ATP-dependent transport of glucuronide conjugates such as estradiol-17-beta-o-glucuronide and GSH conjugates such as leukotriene C4 (LTC4) (PubMed:12527806, PubMed:15256465). May contribute to regulate the transport of organic compounds in testes across the blood-testis-barrier (Probable). Mediates multidrug resistance (MDR) in cancer cells by preventing the intracellular accumulation of certain antitumor drugs, such as, docetaxel and paclitaxel (PubMed:15256465, PubMed:23087055). Does not transport glycocholic acid, taurocholic acid, MTX, folic acid, cAMP, or cGMP (PubMed:12527806).
Subcellular Location	Cell membrane; Basolateral cell membrane; Basal cell membrane
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.009762786
pNuLoCRegion	
