UniprotID	Q6ZMY3-2
Accession	Q6ZMY3;Q24JU3;Q6PI90;Q8N869;Q8N8U0;Q8NBC6;Q96LN6
EntryName	SPOC1_HUMAN
ProteinName	SPOC domain-containing protein 1
GeneName	SPOCD1
Length	1203
Function	Protein adapter that acts as an essential executor of PIWIL4-piRNA pathway directed transposon DNA methylation and silencing in the male embryonic germ cells (PubMed:38359823). Recruited to young transposons, which are specifically marked with histone H3 trimethylated at both 'Lys-4' and 'Lys-9' (H3K4me3K9me3), via its association with SPIN1 chromatin reader, and associates with the de novo DNA methylation machinery and repressive chromatin remodeling complexes (By similarity). Following this, PIWIL4 engages with nascent transposable element transcript to direct piRNA-directed DNA methylation. Not required for piRNA biosynthesis (By similarity).
Subcellular Location	Nucleus; Chromosome
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.9537004
pNuLoCRegion	7...9;25...41;57...69;517...532;587...595
