UniprotID	Q9NXF1-2
Accession	Q9NXF1;B4DYV2;Q5T722;Q5T723;Q8NCN8;Q8TDY0
EntryName	TEX10_HUMAN
ProteinName	Testis-expressed protein 10
GeneName	TEX10 L18 Nbla10363
Length	913
Function	Functions as a component of the Five Friends of Methylated CHTOP (5FMC) complex; the 5FMC complex is recruited to ZNF148 by methylated CHTOP, leading to desumoylation of ZNF148 and subsequent transactivation of ZNF148 target genes (PubMed:22872859). Component of the PELP1 complex involved in the nucleolar steps of 28S rRNA maturation and the subsequent nucleoplasmic transit of the pre-60S ribosomal subunit (PubMed:21326211).
Subcellular Location	Nucleus; Nucleoplasm; Cytoplasm; Nucleus; Nucleolus
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.33885214
pNuLoCRegion	1...2;5...12;66...76
