UniprotID	Q9Y5G4-2
Accession	Q9Y5G4;A2RU65;Q9Y5C9
EntryName	PCDG9_HUMAN
ProteinName	Protocadherin gamma-A9 (PCDH-gamma-A9)
GeneName	PCDHGA9
Length	828
Function	Potential calcium-dependent cell-adhesion protein. May be involved in the establishment and maintenance of specific neuronal connections in the brain.
Subcellular Location	Cell membrane
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.012504582
pNuLoCRegion	
