UniprotID	Q96GJ1
Accession	Q96GJ1;A6NDG5;A6NEI9;A6NMG6;Q5JPF0;Q5JVY6;Q96HU7;Q96IH9;Q9H9K2
EntryName	TRM2B_HUMAN
ProteinName	tRNA (uracil-5-)-methyltransferase homolog B (EC 2.1.1.35) (TRM2 homolog B) (rRNA (uracil-5-)-methyltransferase TRMT2B) (EC 2.1.1.-)
GeneName	TRMT2B CXorf34
Length	504
Function	Mitochondrial S-adenosyl-L-methionine-dependent methyltransferase that catalyzes the formation of 5-methyl-uridine in tRNAs and 12S rRNA (PubMed:31948311, PubMed:34556860). Catalyzes the methylation of uridine at position 54 (m5U54) in all tRNAs (PubMed:31948311). Specifically methylates the uridine in position 429 of 12S rRNA (m5U429) (PubMed:31948311). Does not affect RNA stability or mitochondrial translation (PubMed:31948311).
Subcellular Location	Mitochondrion; Mitochondrion matrix
Disorder	0.2503,0.2817,0.1852,0.2258,0.1373,0.0749,0.0494,0.0631,0.0631,0.0506,0.0646,0.0473,0.0281,0.0269,0.0463,0.0543,0.0543,0.0313,0.0281,0.0281,0.0253,0.0153,0.0136,0.0214,0.0231,0.0494,0.1162,0.1852,0.1092,0.1298,0.1881,0.1229,0.1048,0.1206,0.1251,0.1251,0.0719,0.0433,0.0749,0.1251,0.1137,0.1048,0.1791,0.2094,0.1501,0.0835,0.0581,0.0506,0.0518,0.0618,0.0662,0.0662,0.1092,0.2002,0.2849,0.2817,0.2849,0.3529,0.4369,0.4619,0.4541,0.4476,0.4831,0.4801,0.5017,0.4831,0.5992,0.6427,0.6322,0.4940,0.6043,0.6043,0.6089,0.5055,0.4685,0.4725,0.4119,0.3392,0.3392,0.3599,0.2575,0.1671,0.1702,0.1702,0.1643,0.0851,0.1424,0.1424,0.1449,0.0967,0.1731,0.1184,0.1162,0.0581,0.0817,0.0817,0.0799,0.1184,0.1671,0.1028,0.0543,0.0909,0.1611,0.1007,0.1643,0.1643,0.1671,0.1028,0.1007,0.0799,0.0799,0.0851,0.1251,0.0851,0.1528,0.1251,0.1501,0.1476,0.1298,0.0909,0.1671,0.2399,0.2292,0.2328,0.3149,0.2328,0.2328,0.2292,0.2399,0.1671,0.1969,0.2988,0.2064,0.1373,0.2129,0.2129,0.2988,0.2364,0.1583,0.1942,0.2541,0.1554,0.1583,0.1731,0.1671,0.1611,0.2364,0.1501,0.2292,0.2436,0.3286,0.3286,0.3053,0.4119,0.5098,0.4831,0.5055,0.5055,0.5758,0.6948,0.5854,0.5854,0.5577,0.4582,0.3631,0.3631,0.3740,0.2680,0.3704,0.3840,0.4476,0.4476,0.3740,0.3053,0.1969,0.1323,0.1349,0.1206,0.1115,0.1137,0.0676,0.0985,0.1048,0.1206,0.2094,0.3019,0.2988,0.2951,0.3910,0.3948,0.3182,0.2884,0.2817,0.2609,0.2399,0.3392,0.3392,0.2328,0.1671,0.1583,0.1611,0.2292,0.2541,0.1643,0.2541,0.2541,0.1554,0.1007,0.0676,0.0349,0.0341,0.0568,0.0676,0.0676,0.0676,0.0605,0.0568,0.0929,0.1070,0.1671,0.1162,0.1162,0.1229,0.1137,0.1702,0.1643,0.1449,0.2258,0.3117,0.3392,0.4149,0.3356,0.2399,0.2436,0.1476,0.2224,0.3529,0.3529,0.3321,0.3356,0.3249,0.3948,0.4087,0.4186,0.3215,0.3249,0.2541,0.2575,0.2541,0.2645,0.2164,0.1823,0.2541,0.3529,0.2364,0.2364,0.1583,0.1373,0.1323,0.1583,0.2292,0.2002,0.1702,0.0888,0.0817,0.0780,0.0835,0.1206,0.0704,0.0414,0.0194,0.0320,0.0543,0.0555,0.0506,0.0799,0.1528,0.2292,0.1449,0.1424,0.1229,0.1251,0.1501,0.1731,0.2988,0.2064,0.2988,0.2064,0.1373,0.1206,0.1881,0.3149,0.3426,0.2364,0.1611,0.0835,0.1162,0.1251,0.0765,0.0799,0.0799,0.0463,0.0433,0.0248,0.0253,0.0136,0.0214,0.0248,0.0463,0.0662,0.0690,0.0349,0.0313,0.0163,0.0281,0.0506,0.0835,0.0749,0.0531,0.1048,0.1373,0.0870,0.0851,0.0909,0.1528,0.1028,0.1643,0.1852,0.0948,0.0929,0.1092,0.1298,0.2292,0.2224,0.3215,0.3182,0.2224,0.1671,0.1028,0.1323,0.0676,0.0483,0.0473,0.0835,0.0851,0.0817,0.0817,0.0463,0.0405,0.0405,0.0372,0.0218,0.0269,0.0258,0.0263,0.0253,0.0240,0.0424,0.0483,0.0494,0.0454,0.0454,0.0888,0.0870,0.0506,0.0555,0.0581,0.0734,0.0835,0.0948,0.1643,0.1424,0.2224,0.1671,0.1702,0.1449,0.1184,0.0618,0.0646,0.0985,0.0948,0.0985,0.1731,0.1554,0.2541,0.2258,0.2094,0.2129,0.2436,0.3182,0.2680,0.2752,0.3053,0.2064,0.2129,0.2364,0.2680,0.2129,0.2328,0.2193,0.2164,0.3087,0.3182,0.3182,0.3182,0.3053,0.4186,0.3215,0.2470,0.2129,0.1476,0.1206,0.1162,0.1399,0.1914,0.2817,0.2193,0.2193,0.2193,0.3117,0.2224,0.2224,0.1643,0.0888,0.0851,0.0704,0.0372,0.0380,0.0734,0.0568,0.0704,0.0888,0.0765,0.0734,0.0631,0.0433,0.0275,0.0178,0.0125,0.0194,0.0111,0.0174,0.0115,0.0165,0.0275,0.0300,0.0356,0.0676,0.0690,0.0690,0.0909,0.0506,0.0676,0.0704,0.0405,0.0231,0.0483,0.0909,0.1791,0.2752,0.2470,0.3529,0.3494,0.3529,0.2645,0.2645,0.2645,0.2951,0.1791,0.1275,0.0704,0.1137,0.1914,0.1528,0.1643,0.2715,0.2849,0.2645,0.1611,0.0799,0.0799,0.0985,0.1048,0.1251,0.1969,0.1791,0.1914,0.1137,0.0618,0.0734,0.0662,0.0543,0.0543,0.0531,0.0506,0.0631,0.0398,0.0518,0.0349,0.0506,0.1007,0.0555,0.0356,0.0205
ExposeBuried	1,1,1,1,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,0,1,1,0,0,0,1,0,0,1,0,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,1,1,0,1,1,0,0,1,1,0,1,1,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,0,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,1,1,1,0,1,1,0,1,1,1,0,1,1,0,0,1,0,0,1,1,0,0,1,1,0,1,0,1,1,0,1,0,1,1,1,1,1,1,0,1,1,0,1,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,1,1,0,1,1,0,0,1,1,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,1,1,1,0,0,0,1,1,0,0,1,0,1,0,1,0,1,1,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,1,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,1,1,1,0,1,1,1,1,0,1,0,1,1,0,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1,0,0,1,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,0,0,1,0,1,0,0,1,1,0,1,1,0,1,0,0,0,0,0,1,1
SurfaceAccessbility	0.775,0.528,0.576,0.324,0.547,0.460,0.472,0.147,0.271,0.160,0.353,0.219,0.074,0.315,0.192,0.062,0.086,0.277,0.116,0.100,0.208,0.137,0.144,0.472,0.481,0.454,0.374,0.126,0.128,0.214,0.118,0.186,0.153,0.438,0.456,0.297,0.550,0.351,0.127,0.312,0.344,0.107,0.091,0.130,0.155,0.193,0.147,0.089,0.465,0.403,0.471,0.113,0.309,0.338,0.140,0.071,0.152,0.381,0.339,0.072,0.553,0.594,0.374,0.539,0.605,0.510,0.586,0.586,0.520,0.389,0.602,0.423,0.225,0.315,0.405,0.229,0.571,0.494,0.531,0.155,0.400,0.634,0.301,0.070,0.303,0.542,0.119,0.128,0.293,0.316,0.175,0.149,0.474,0.124,0.506,0.242,0.560,0.623,0.445,0.121,0.630,0.409,0.445,0.375,0.330,0.487,0.151,0.561,0.546,0.080,0.089,0.561,0.405,0.043,0.372,0.624,0.238,0.064,0.536,0.447,0.255,0.492,0.422,0.182,0.251,0.080,0.293,0.290,0.169,0.119,0.509,0.555,0.423,0.635,0.504,0.122,0.190,0.070,0.239,0.183,0.453,0.438,0.202,0.386,0.389,0.451,0.439,0.490,0.403,0.534,0.581,0.281,0.455,0.477,0.516,0.142,0.408,0.102,0.191,0.124,0.329,0.301,0.202,0.397,0.649,0.489,0.648,0.585,0.489,0.275,0.113,0.104,0.069,0.181,0.100,0.123,0.416,0.177,0.579,0.702,0.330,0.392,0.071,0.113,0.065,0.082,0.228,0.304,0.365,0.411,0.277,0.458,0.480,0.071,0.373,0.704,0.361,0.115,0.523,0.502,0.049,0.084,0.533,0.146,0.060,0.370,0.399,0.078,0.089,0.532,0.651,0.281,0.508,0.186,0.574,0.399,0.205,0.288,0.236,0.381,0.415,0.410,0.453,0.313,0.334,0.136,0.363,0.465,0.109,0.317,0.168,0.380,0.261,0.566,0.558,0.579,0.393,0.276,0.134,0.069,0.047,0.035,0.040,0.099,0.090,0.230,0.211,0.584,0.595,0.102,0.500,0.575,0.735,0.440,0.147,0.451,0.532,0.166,0.340,0.604,0.219,0.046,0.386,0.568,0.158,0.099,0.349,0.478,0.277,0.488,0.453,0.376,0.255,0.175,0.239,0.082,0.167,0.055,0.071,0.114,0.090,0.225,0.491,0.586,0.469,0.429,0.521,0.504,0.189,0.478,0.484,0.589,0.661,0.299,0.331,0.211,0.513,0.278,0.133,0.289,0.491,0.462,0.447,0.165,0.099,0.168,0.532,0.473,0.112,0.169,0.376,0.119,0.365,0.105,0.394,0.080,0.281,0.368,0.445,0.090,0.139,0.114,0.336,0.077,0.392,0.248,0.362,0.160,0.114,0.432,0.160,0.052,0.173,0.404,0.101,0.071,0.386,0.497,0.092,0.355,0.661,0.119,0.555,0.437,0.581,0.192,0.093,0.063,0.041,0.083,0.031,0.025,0.034,0.135,0.227,0.222,0.186,0.093,0.075,0.132,0.211,0.094,0.137,0.500,0.387,0.150,0.463,0.403,0.147,0.117,0.176,0.133,0.516,0.131,0.061,0.519,0.596,0.084,0.122,0.645,0.521,0.162,0.429,0.156,0.360,0.270,0.568,0.374,0.576,0.584,0.145,0.459,0.511,0.320,0.545,0.166,0.312,0.232,0.403,0.479,0.138,0.541,0.579,0.113,0.102,0.370,0.378,0.140,0.124,0.528,0.407,0.466,0.440,0.564,0.441,0.492,0.263,0.075,0.094,0.081,0.069,0.072,0.323,0.227,0.404,0.427,0.263,0.337,0.128,0.184,0.268,0.405,0.045,0.050,0.256,0.080,0.044,0.383,0.446,0.096,0.506,0.365,0.083,0.261,0.209,0.044,0.036,0.066,0.043,0.144,0.033,0.329,0.224,0.425,0.284,0.595,0.432,0.356,0.433,0.391,0.138,0.122,0.412,0.112,0.060,0.250,0.407,0.561,0.455,0.398,0.496,0.541,0.483,0.144,0.461,0.596,0.350,0.440,0.132,0.366,0.241,0.350,0.507,0.254,0.174,0.292,0.152,0.413,0.141,0.119,0.389,0.495,0.235,0.443,0.382,0.032,0.373,0.074,0.086,0.062,0.124,0.116,0.481,0.699
SecondStructure	C,C,C,C,C,C,C,C,C,C,A,A,A,A,A,A,A,A,A,A,A,A,C,C,C,C,C,C,C,C,B,B,C,C,C,C,C,C,C,C,A,A,A,A,A,A,C,C,C,C,C,C,A,A,A,A,A,A,A,A,A,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,A,A,A,A,A,A,A,A,A,A,C,C,C,C,C,C,C,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,C,C,C,C,C,C,A,A,A,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,B,B,B,B,B,B,C,C,C,C,C,C,C,C,B,B,B,B,B,B,B,B,B,C,C,C,B,B,B,B,B,B,C,C,C,C,C,C,C,C,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,C,C,C,C,C,C,C,C,C,C,C,C,C,C,B,B,B,B,B,B,B,B,C,C,C,C,B,B,B,B,B,B,B,B,C,C,C,C,C,C,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,C,C,C,C,C,C,C,C,B,B,B,B,B,B,B,B,C,C,C,C,C,C,C,C,C,C,C,C,C,C,A,C,C,C,C,C,C,A,A,A,A,A,C,C,B,B,B,B,B,C,C,C,C,B,B,B,B,C,C,C,A,A,A,A,A,A,A,A,A,A,A,A,A,C,C,C,C,C,C,B,B,B,B,B,B,C,C,C,C,C,A,A,A,A,A,A,A,A,A,C,A,B,B,A,A,A,A,C,A,A,A,A,A,A,A,A,A,A,A,C,C,C,C,C,C,C,C,B,B,C,C,C,C,C,C,A,A,A,A,A,A,A,A,C,C,C,C,C,C,B,B,B,B,B,B,C,C,C,C,C,C,A,A,A,A,A,A,A,A,A,A,A,A,C,C,C,C,B,B,B,B,B,B,B,B,C,C,C,C,C,C,C,C,B,B,B,B,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,B,B,B,B,B,B,B,C,C,C,C,C,C,C,C,B,B,B,B,B,B,B,C
