UniprotID	Q969S9-2
Accession	Q969S9;A0AR28;Q8N6D8;Q8WYI0;Q9H6Z1
EntryName	RRF2M_HUMAN
ProteinName	Ribosome-releasing factor 2, mitochondrial (RRF2mt) (EC 3.6.5.-) (Elongation factor G 2, mitochondrial) (EF-G2mt) (mEF-G 2) (Elongation factor G2) (hEFG2)
GeneName	GFM2 EFG2 MSTP027
Length	732
Function	Mitochondrial GTPase that mediates the disassembly of ribosomes from messenger RNA at the termination of mitochondrial protein biosynthesis (PubMed:19716793, PubMed:33878294). Acts in collaboration with MRRF (PubMed:19716793, PubMed:33878294). Promotes mitochondrial ribosome recycling by dissolution of intersubunit contacts (PubMed:33878294). GTP hydrolysis follows the ribosome disassembly and probably occurs on the ribosome large subunit (PubMed:19716793). Not involved in the GTP-dependent ribosomal translocation step during translation elongation (PubMed:19716793).
Subcellular Location	Mitochondrion
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.15944274
pNuLoCRegion	
