UniprotID	Q9UBF8-2
Accession	Q9UBF8;B4DGI2;O15096;P78405;Q5VWB9;Q5VWC0;Q5VWC1;Q9BWR6
EntryName	PI4KB_HUMAN
ProteinName	Phosphatidylinositol 4-kinase beta (PI4K-beta) (PI4Kbeta) (PtdIns 4-kinase beta) (EC 2.7.1.67) (NPIK) (PI4K92) (PI4KIII)
GeneName	PI4KB PIK4CB
Length	801
Function	Phosphorylates phosphatidylinositol (PI) in the first committed step in the production of the second messenger inositol-1,4,5,-trisphosphate (PIP). May regulate Golgi disintegration/reorganization during mitosis, possibly via its phosphorylation. Involved in Golgi-to-plasma membrane trafficking (By similarity) (PubMed:10559940, PubMed:11277933, PubMed:12749687, PubMed:9405935). May play an important role in the inner ear development.
Subcellular Location	Endomembrane system; Mitochondrion outer membrane; Rough endoplasmic reticulum membrane; Golgi apparatus; Golgi apparatus membrane; Cytoplasm; Perinuclear region
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.6037523
pNuLoCRegion	125...133;182...194;251...265
