UniprotID	Q9ULJ3-2
Accession	Q9ULJ3;Q5R2W1;Q5R2W2;Q6P4R0
EntryName	ZBT21_HUMAN
ProteinName	Zinc finger and BTB domain-containing protein 21 (Zinc finger protein 295)
GeneName	ZBTB21 KIAA1227 ZNF295
Length	865
Function	Acts as a transcription repressor.
Subcellular Location	Nucleus
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.96337354
pNuLoCRegion	54...72;135...152;275...290;555...564;711...732
