UniprotID	Q9H9P5-6
Accession	Q9H9P5;B0QYN6;B1GXI8;Q96EV1;Q96RZ1;Q9BWL5;Q9H5K0;Q9UJJ8
EntryName	UNKL_HUMAN
ProteinName	Putative E3 ubiquitin-protein ligase UNKL (EC 2.3.2.-) (RING finger protein unkempt-like) (Zinc finger CCCH domain-containing protein 5-like)
GeneName	UNKL C16orf28 ZC3H5L ZC3HDC5L
Length	756
Function	May participate in a protein complex showing an E3 ligase activity regulated by RAC1. Ubiquitination is directed towards itself and possibly other substrates, such as SMARCD2/BAF60b. Intrinsic E3 ligase activity has not been proven.
Subcellular Location	Cytoplasm; Nucleus
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.89531237
pNuLoCRegion	20...28;50...75
