UniprotID	Q9NRA0-5
Accession	Q9NRA0;A0T4C8;B4DU87;Q9BRN1;Q9H0Q2;Q9NWU7
EntryName	SPHK2_HUMAN
ProteinName	Sphingosine kinase 2 (SK 2) (SPK 2) (EC 2.7.1.91)
GeneName	SPHK2 SK2
Length	761
Function	Catalyzes the phosphorylation of sphingosine to form sphingosine-1-phosphate (SPP), a lipid mediator with both intra- and extracellular functions. Also acts on D-erythro-dihydrosphingosine, D-erythro-sphingosine and L-threo-dihydrosphingosine. Binds phosphoinositides (PubMed:12954646, PubMed:19168031). In contrast to prosurvival SPHK1, has a positive effect on intracellular ceramide levels, inhibits cells growth and enhances apoptosis (PubMed:16118219). In mitochondria, is important for cytochrome-c oxidase assembly and mitochondrial respiration. The SPP produced in mitochondria binds PHB2 and modulates the regulation via PHB2 of complex IV assembly and respiration (PubMed:20959514). In nucleus, plays a role in epigenetic regulation of gene expression. Interacts with HDAC1 and HDAC2 and, through SPP production, inhibits their enzymatic activity, preventing the removal of acetyl groups from lysine residues with histones. Up-regulates acetylation of histone H3-K9, histone H4-K5 and histone H2B-K12 (PubMed:19729656). In nucleus, may have an inhibitory effect on DNA synthesis and cell cycle (PubMed:12954646, PubMed:16103110). In mast cells, is the main regulator of SPP production which mediates calcium influx, NF-kappa-B activation, cytokine production, such as TNF and IL6, and degranulation of mast cells (By similarity). In dopaminergic neurons, is involved in promoting mitochondrial functions regulating ATP and ROS levels (By similarity). Also involved in the regulation of glucose and lipid metabolism (By similarity).
Subcellular Location	Cytoplasm; Nucleus; Endoplasmic reticulum; Mitochondrion inner membrane; Lysosome membrane
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.27478734
pNuLoCRegion	
