UniprotID	Q6PIJ6-2
Accession	Q6PIJ6;Q6PK72;Q7Z2U0;Q86VN3;Q9BXY6;Q9H837;Q9HC40
EntryName	FBX38_HUMAN
ProteinName	F-box only protein 38
GeneName	FBXO38 SP329
Length	1113
Function	Substrate recognition component of a SCF (SKP1-CUL1-F-box protein) E3 ubiquitin-protein ligase complex which mediates the ubiquitination and subsequent proteasomal degradation of PDCD1/PD-1, thereby regulating T-cells-mediated immunity (PubMed:30487606). Required for anti-tumor activity of T-cells by promoting the degradation of PDCD1/PD-1; the PDCD1-mediated inhibitory pathway being exploited by tumors to attenuate anti-tumor immunity and facilitate tumor survival (PubMed:30487606). May indirectly stimulate the activity of transcription factor KLF7, a regulator of neuronal differentiation, without promoting KLF7 ubiquitination (By similarity).
Subcellular Location	Cytoplasm; Cytosol; Nucleus
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.9695199
pNuLoCRegion	3...30;827...840;897...916;1096...1106
