UniprotID	Q9H2E6-2
Accession	Q9H2E6;Q9P2H9
EntryName	SEM6A_HUMAN
ProteinName	Semaphorin-6A (Semaphorin VIA) (Sema VIA) (Semaphorin-6A-1) (SEMA6A-1)
GeneName	SEMA6A KIAA1368 SEMAQ
Length	1047
Function	Cell surface receptor for PLXNA2 that plays an important role in cell-cell signaling. Required for normal granule cell migration in the developing cerebellum. Promotes reorganization of the actin cytoskeleton and plays an important role in axon guidance in the developing central nervous system. Can act as repulsive axon guidance cue. Has repulsive action towards migrating granular neurons. May play a role in channeling sympathetic axons into the sympathetic chains and controlling the temporal sequence of sympathetic target innervation.
Subcellular Location	Cell membrane
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.024621148
pNuLoCRegion	64...64
