UniprotID	Q5VIR6-1
Accession	Q5VIR6;A8K2S8;B3FH42;Q8WYW3;Q9BRR2;Q9BY02;Q9NV25
EntryName	VPS53_HUMAN
ProteinName	Vacuolar protein sorting-associated protein 53 homolog
GeneName	VPS53 PP13624
Length	699
Function	Acts as a component of the GARP complex that is involved in retrograde transport from early and late endosomes to the trans-Golgi network (TGN). The GARP complex is required for the maintenance of the cycling of mannose 6-phosphate receptors between the TGN and endosomes, this cycling is necessary for proper lysosomal sorting of acid hydrolases such as CTSD (PubMed:15878329, PubMed:18367545). Acts as a component of the EARP complex that is involved in endocytic recycling. The EARP complex associates with Rab4-positive endosomes and promotes recycling of internalized transferrin receptor (TFRC) to the plasma membrane (PubMed:25799061).
Subcellular Location	Golgi apparatus; trans-Golgi network membrane; Endosome membrane; Recycling endosome
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.8538871
pNuLoCRegion	1...23;222...223
