UniprotID	Q8N4X5-2
Accession	Q8N4X5;A8K6P7;B3KVQ8;Q2UZW3;Q8TB54;Q96PX4;Q96SY5
EntryName	AF1L2_HUMAN
ProteinName	Actin filament-associated protein 1-like 2 (AFAP1-like protein 2)
GeneName	AFAP1L2 KIAA1914 XB130
Length	814
Function	May play a role in a signaling cascade by enhancing the kinase activity of SRC. Contributes to SRC-regulated transcription activation.
Subcellular Location	Cytoplasm
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.30225593
pNuLoCRegion	61...67
