UniprotID	Q5TCZ1-3
Accession	Q5TCZ1;D3DR98;O43302;Q5TCZ2;Q5TDQ8
EntryName	SPD2A_HUMAN
ProteinName	SH3 and PX domain-containing protein 2A (Adapter protein TKS5) (Five SH3 domain-containing protein) (SH3 multiple domains protein 1) (Tyrosine kinase substrate with five SH3 domains)
GeneName	SH3PXD2A FISH KIAA0418 SH3MD1 TKS5
Length	1105
Function	Adapter protein involved in invadopodia and podosome formation, extracellular matrix degradation and invasiveness of some cancer cells. Binds matrix metalloproteinases (ADAMs), NADPH oxidases (NOXs) and phosphoinositides. Acts as an organizer protein that allows NOX1- or NOX3-dependent reactive oxygen species (ROS) generation and ROS localization. In association with ADAM12, mediates the neurotoxic effect of amyloid-beta peptide.
Subcellular Location	Cytoplasm; Cell projection; Podosome
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.3249572
pNuLoCRegion	48...61
