UniprotID	Q5VXU9-3
Accession	Q5VXU9;A2A2V3;Q2M1H8;Q96M73
EntryName	SHOC1_HUMAN
ProteinName	Protein shortage in chiasmata 1 ortholog (EC 3.6.-.-) (Protein ZIP2 homolog) (MZIP2)
GeneName	SHOC1 C9orf84 ZIP2
Length	1405
Function	ATPase required during meiosis for the formation of crossover recombination intermediates (By similarity). Binds DNA: preferentially binds to single-stranded DNA and DNA branched structures (PubMed:29742103). Does not show nuclease activity in vitro, but shows ATPase activity, which is stimulated by the presence of single-stranded DNA (PubMed:29742103). Plays a key role in homologous recombination and crossing-over in meiotic prophase I in male and female germ cells (By similarity). Required for proper synaptonemal complex assembly and homologous chromosome pairing (By similarity). Requiref for recruitment TEX11 and MSH4 to recombination intermediates (By similarity).
Subcellular Location	Chromosome
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.5861551
pNuLoCRegion	17...26
