UniprotID	Q8TEW8-3
Accession	Q8TEW8;E9PE87;Q8IUC7;Q8IUC9;Q96DK9;Q96N09;Q96NX6;Q96NX7;Q96Q29
EntryName	PAR3L_HUMAN
ProteinName	Partitioning defective 3 homolog B (Amyotrophic lateral sclerosis 2 chromosomal region candidate gene 19 protein) (PAR3-beta) (Partitioning defective 3-like protein) (PAR3-L protein)
GeneName	PARD3B ALS2CR19 PAR3B PAR3L
Length	1136
Function	Putative adapter protein involved in asymmetrical cell division and cell polarization processes. May play a role in the formation of epithelial tight junctions.
Subcellular Location	Endomembrane system; Cell junction; Cell junction; Tight junction
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.49495488
pNuLoCRegion	374...392;788...807;874...879
