UniprotID	Q9ULT0-4
Accession	Q9ULT0;Q2T9J9;Q6PIX4;Q8ND67;Q9BUS3
EntryName	TTC7A_HUMAN
ProteinName	Tetratricopeptide repeat protein 7A (TPR repeat protein 7A)
GeneName	TTC7A KIAA1140 TTC7
Length	882
Function	Component of a complex required to localize phosphatidylinositol 4-kinase (PI4K) to the plasma membrane (PubMed:23229899, PubMed:24417819). The complex acts as a regulator of phosphatidylinositol 4-phosphate (PtdIns(4)P) synthesis (Probable). In the complex, plays a central role in bridging PI4KA to EFR3B and HYCC1, via direct interactions (By similarity).
Subcellular Location	Cytoplasm; Cell membrane
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.6217966
pNuLoCRegion	16...53
