UniprotID	Q8NCD3-2
Accession	Q8NCD3;A8IRH5;B4DWR0;B4DZV4;Q9BUT2;Q9NSL8
EntryName	HJURP_HUMAN
ProteinName	Holliday junction recognition protein (14-3-3-associated AKT substrate) (Fetal liver-expressing gene 1 protein) (Up-regulated in lung cancer 9)
GeneName	HJURP FAKTS FLEG1 URLC9
Length	694
Function	Centromeric protein that plays a central role in the incorporation and maintenance of histone H3-like variant CENPA at centromeres. Acts as a specific chaperone for CENPA and is required for the incorporation of newly synthesized CENPA molecules into nucleosomes at replicated centromeres. Prevents CENPA-H4 tetramerization and prevents premature DNA binding by the CENPA-H4 tetramer. Directly binds Holliday junctions.
Subcellular Location	Nucleus; Nucleolus; Chromosome; Centromere
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.91959417
pNuLoCRegion	8...19;622...641
