UniprotID	Q8WXI2-5
Accession	Q8WXI2;B4DGR4;B7ZLJ1;B9EG83;E7ESA4;O94976;Q5JPK4;Q5JPN0;Q8WXI1
EntryName	CNKR2_HUMAN
ProteinName	Connector enhancer of kinase suppressor of ras 2 (Connector enhancer of KSR 2) (CNK homolog protein 2) (CNK2)
GeneName	CNKSR2 CNK2 KIAA0902 KSR2
Length	1004
Function	May function as an adapter protein or regulator of Ras signaling pathways.
Subcellular Location	Cytoplasm; Membrane
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.49018976
pNuLoCRegion	22...38;51...79
