UniprotID	Q8IZQ8-3
Accession	Q8IZQ8;Q5UBU5;Q8N7Q1
EntryName	MYCD_HUMAN
ProteinName	Myocardin
GeneName	MYOCD MYCD
Length	986
Function	Smooth muscle cells (SM) and cardiac muscle cells-specific transcriptional factor which uses the canonical single or multiple CArG boxes DNA sequence. Acts as a cofactor of serum response factor (SRF) with the potential to modulate SRF-target genes. Plays a crucial role in cardiogenesis, urinary bladder development, and differentiation of the smooth muscle cell lineage (myogenesis) (By similarity). Positively regulates the transcription of genes involved in vascular smooth muscle contraction (By similarity).
Subcellular Location	Nucleus
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.94427973
pNuLoCRegion	33...75;103...124;155...160;255...269;289...312
