UniprotID	Q8WY36-2
Accession	Q8WY36;A2RRM7;Q2TAJ1;Q7L3J8;Q7LBY8;Q8NDB0;Q8WY35;Q9H0J6
EntryName	BBX_HUMAN
ProteinName	HMG box transcription factor BBX (Bobby sox homolog) (HMG box-containing protein 2)
GeneName	BBX HBP2
Length	911
Function	Transcription factor that is necessary for cell cycle progression from G1 to S phase.
Subcellular Location	Nucleus
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.96776664
pNuLoCRegion	35...59;182...203;216...236;458...463;504...539;689...699;719...736;793...798
