UniprotID	Q8WZA1-2
Accession	Q8WZA1;D3DQ16;Q5VST2;Q5VST3;Q9BV55;Q9H9L8;Q9NXF9;Q9NYF7
EntryName	PMGT1_HUMAN
ProteinName	Protein O-linked-mannose beta-1,2-N-acetylglucosaminyltransferase 1 (POMGnT1) (EC 2.4.1.-) (UDP-GlcNAc:alpha-D-mannoside beta-1,2-N-acetylglucosaminyltransferase I.2) (GnT I.2)
GeneName	POMGNT1 MGAT1.2 UNQ746/PRO1475
Length	748
Function	Participates in O-mannosyl glycosylation by catalyzing the addition of N-acetylglucosamine to O-linked mannose on glycoproteins (PubMed:11709191, PubMed:27493216, PubMed:28512129). Catalyzes the synthesis of the GlcNAc(beta1-2)Man(alpha1-)O-Ser/Thr moiety on alpha-dystroglycan and other O-mannosylated proteins, providing the necessary basis for the addition of further carbohydrate moieties (PubMed:11709191, PubMed:27493216). Is specific for alpha linked terminal mannose and does not have MGAT3, MGAT4, MGAT5, MGAT7 or MGAT8 activity.
Subcellular Location	Golgi apparatus membrane
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.034288947
pNuLoCRegion	
