UniprotID	Q9Y2X9-2
Accession	Q9Y2X9;A6NF48;B3KMX2;Q5RKW5;Q9NY92
EntryName	ZN281_HUMAN
ProteinName	Zinc finger protein 281 (GC-box-binding zinc finger protein 1) (Transcription factor ZBP-99) (Zinc finger DNA-binding protein 99)
GeneName	ZNF281 GZP1 ZBP99
Length	859
Function	Transcription repressor that plays a role in regulation of embryonic stem cells (ESCs) differentiation. Required for ESCs differentiation and acts by mediating autorepression of NANOG in ESCs: binds to the NANOG promoter and promotes association of NANOG protein to its own promoter and recruits the NuRD complex, which deacetylates histones. Not required for establishement and maintenance of ESCs (By similarity). Represses the transcription of a number of genes including GAST, ODC1 and VIM. Binds to the G-rich box in the enhancer region of these genes.
Subcellular Location	Nucleus
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.95378935
pNuLoCRegion	16...42;184...199;240...285;303...327;506...527
