UniprotID	Q9UPU7-2
Accession	Q9UPU7;A7MD42;Q8N1F9;Q9NXM0
EntryName	TBD2B_HUMAN
ProteinName	TBC1 domain family member 2B
GeneName	TBC1D2B KIAA1055
Length	914
Function	GTPase-activating protein that plays a role in the early steps of endocytosis (PubMed:32623794).
Subcellular Location	Early endosome
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.38092667
pNuLoCRegion	17...26;94...99;256...258;289...304;317...330;342...352
