UniprotID	Q9H6U6-6
Accession	Q9H6U6;Q17RM0;Q6KF21;Q8IXI6;Q8NDR8;Q8TDL9;Q8TDM1;Q8WY55;Q9BVF0;Q9H957;Q9H9Y9;Q9NXP4
EntryName	BCAS3_HUMAN
ProteinName	BCAS3 microtubule associated cell migration factor (Breast carcinoma-amplified sequence 3) (GAOB1)
GeneName	BCAS3
Length	684
Function	Plays a role in angiogenesis. Participates in the regulation of cell polarity and directional endothelial cell migration by mediating both the activation and recruitment of CDC42 and the reorganization of the actin cytoskeleton at the cell leading edge. Promotes filipodia formation (By similarity). Functions synergistically with PELP1 as a transcriptional coactivator of estrogen receptor-responsive genes. Stimulates histone acetyltransferase activity. Binds to chromatin. Plays a regulatory role in autophagic activity. In complex with PHAF1, associates with the preautophagosomal structure during both non-selective and selective autophagy (PubMed:33499712). Probably binds phosphatidylinositol 3-phosphate (PtdIns3P) which would mediate the recruitment preautophagosomal structures (PubMed:33499712).
Subcellular Location	Nucleus; Cytoplasm; Cytoplasm; Cytoskeleton; Preautophagosomal structure
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.47488308
pNuLoCRegion	152...166;346...362;379...406;451...452;457...465
pNuLoCScore	0.24689660722222223,0.23522845650000002,0.22550797863636365,0.21754203708333333,0.2103127776923077,0.2042809392857143,0.2009258246666667,0.199531338125,0.19783106117647062,0.18102578705882355,0.16463594411764704,0.15087265999999996,0.14925397117647057,0.1478422494117647,0.14958018470588233,0.15334939852941182,0.15544968500000003,0.1584677767647059,0.16243951088235295,0.1666500426470588,0.17007225205882354,0.17369996,0.17815875117647056,0.18145172294117645,0.18335349647058824,0.1893238594117647,0.19639215705882354,0.20176634705882357,0.20706636764705882,0.2131034994117647,0.21938692705882354,0.22516033117647058,0.23023166235294118,0.23539966235294116,0.2391899464705882,0.24210649529411765,0.24501098058823528,0.24889024470588234,0.25304456588235297,0.25607569764705884,0.25910218647058825,0.2623105088235294,0.2620162511764706,0.2612689982352941,0.26176972764705875,0.26192424411764703,0.26111867529411764,0.2590582070588235,0.25629610411764703,0.2538045458823529,0.2507186188235294,0.24895492941176472,0.24757345941176473,0.24607966176470591,0.24335083176470587,0.24042308470588236,0.23219655117647062,0.22462733470588236,0.21815372529411767,0.21256531058823533,0.20735383,0.20293928294117647,0.19895698941176468,0.19643095058823531,0.19590453294117646,0.1955537788235294,0.1954620017647059,0.1955976005882353,0.19621529529411766,0.19741977588235296,0.1991785005882353,0.20245199764705882,0.20578737882352938,0.21481540941176472,0.22278887882352938,0.22945008176470588,0.23513018352941173,0.2404757582352941,0.24588139764705882,0.25102493647058827,0.2552666211764706,0.25786944117647054,0.2606162382352941,0.2632303158823529,0.26566484588235295,0.26806818352941175,0.2700934723529412,0.27184048411764705,0.2773291888235294,0.28171025117647064,0.2844839023529412,0.28833405764705883,0.2925469611764706,0.2970517741176471,0.3015446229411765,0.30556479823529414,0.30940203999999993,0.3135055111764706,0.3181960723529412,0.32345173999999993,0.3293311823529411,0.3357952382352941,0.3421422135294117,0.3487599988235294,0.3551503076470588,0.35694730882352943,0.35978208647058824,0.3635655176470588,0.36637456176470584,0.36872112117647055,0.3708866435294117,0.3729281723529412,0.3752926729411765,0.3777962682352941,0.3799620894117646,0.3820734805882353,0.38374503941176474,0.3845104417647059,0.38351377999999997,0.3807965094117647,0.3644137578823529,0.35150600317647057,0.34272326552941174,0.3369668331764706,0.33348799729411766,0.329151682,0.32457201729411767,0.3186895172941177,0.3116852231764706,0.30427866905882356,0.2963604878823529,0.2880126361176471,0.2803054167058823,0.27250595788235293,0.264867572,0.2586366249411765,0.25371461729411765,0.26231026705882354,0.26722651,0.26835583941176466,0.26649682352941173,0.2627214970588235,0.2601643494117647,0.25798311823529413,0.2571903170588235,0.2577194923529411,0.25900316470588236,0.26141791058823527,0.2643189511764706,0.2671788547058823,0.27047636294117644,0.27434346294117645,0.2886020935294118,0.30003034941176465,0.3108751894117647,0.32251303470588233,0.3343575523529412,0.34666676647058825,0.35912049058823525,0.37057088941176475,0.3819366482352941,0.3923186276470588,0.40251696117647057,0.41236445470588234,0.42151032941176464,0.4309946482352941,0.4399000894117646,0.44850545588235285,0.4567358194117646,0.4545168805882352,0.4548590117647058,0.4555314441176469,0.4556762847058823,0.45553233941176463,0.45478543352941175,0.45356519529411754,0.45276529058823517,0.4520555511764705,0.4522643776470588,0.4522496870588235,0.45214555999999995,0.45185455470588226,0.4513488711764705,0.45078130411764705,0.4508330341176471,0.45125047529411766,0.4513593152941176,0.4510865958823529,0.45098594117647056,0.4508700023529412,0.45082709705882357,0.4510730611764706,0.45174405882352947,0.4524207664705884,0.4529471488235295,0.4534030876470589,0.4539207823529412,0.45436218941176476,0.4549658494117647,0.45535559705882356,0.45579984294117654,0.4555614617647059,0.45497663000000005,0.4549244600000001,0.4551425600000001,0.4548465282352941,0.45443881647058826,0.45394499764705887,0.4533156041176471,0.45262630058823533,0.4520297417647059,0.45156550235294124,0.45101659588235293,0.45052280529411765,0.4500005494117647,0.44931584352941173,0.4467898194117647,0.44394861470588237,0.4413143252941176,0.4387636705882353,0.43620113529411764,0.43413026,0.43209794176470584,0.4302457394117647,0.4283629511764705,0.42639929352941175,0.42439447117647056,0.4223505282352941,0.42032163352941176,0.4182192288235294,0.41621553000000006,0.41429713176470595,0.4125312847058824,0.4128231052941177,0.41331385823529415,0.413564395882353,0.41355408705882357,0.4134975647058824,0.41316775647058823,0.4131651776470588,0.41299157999999997,0.41274226411764703,0.41264191117647053,0.4124415111764705,0.4122382294117647,0.41200204999999995,0.4118879317647059,0.4117236070588235,0.4123361541176471,0.41279484823529417,0.4132225276470589,0.41359108882352946,0.4140386952941177,0.4146775964705883,0.4153116794117648,0.4159343952941177,0.4163978141176471,0.41684630117647054,0.4171583823529411,0.4172332647058823,0.417141478235294,0.41702482529411755,0.4169272899999999,0.416859152352941,0.4168776805882352,0.4161764311764705,0.4153870005882352,0.4146729370588234,0.41400534882352935,0.41323870470588225,0.4123707799999999,0.41148607352941174,0.4105217811764706,0.4096759352941177,0.408884825882353,0.40841432470588246,0.4082068800000001,0.40836893117647066,0.4085395770588236,0.40862135352941176,0.40881485352941177,0.4092182911764706,0.4091382247058824,0.4091349811764707,0.4093341729411766,0.40946853764705887,0.4091817535294118,0.40893758705882355,0.40872562058823525,0.4085472835294118,0.4085639517647059,0.4085578523529412,0.4083821482352941,0.4081686335294118,0.4078118911764706,0.40732314411764703,0.4069283770588235,0.4064135335294118,0.40564173588235297,0.40528761411764713,0.40501261764705887,0.40452764411764713,0.4041751594117648,0.404167831764706,0.40406812529411773,0.4038671347058824,0.40369459823529413,0.40334653352941174,0.4030221023529412,0.40277084529411766,0.40247103235294124,0.4022497288235294,0.4045701935294117,0.4076472099999999,0.41099739235294114,0.4137343829411765,0.41578752647058825,0.41766419294117657,0.4193824917647058,0.4210425911764706,0.4224289547058824,0.42385496647058823,0.4252082041176471,0.42638930352941173,0.4273022923529411,0.42799378058823523,0.4283000629411764,0.4281460376470588,0.42756670529411755,0.4240239158823529,0.4193727370588235,0.4144695535294118,0.4100597023529412,0.4059869917647059,0.4023069047058824,0.39891528352941175,0.39564711705882355,0.3928777488235294,0.39012198235294115,0.3875995270588235,0.3854656529411764,0.3842423464705882,0.38354854941176475,0.3836678870588235,0.3920778252941176,0.40254228588235297,0.4136180205882352,0.42663525588235296,0.43980612764705884,0.4526604458823529,0.46611305647058826,0.47956561235294115,0.4930391976470587,0.5063774535294117,0.5197619064705883,0.5332934047058824,0.5468299847058823,0.5602402399999998,0.5731569794117647,0.5858239411764705,0.5981128976470588,0.6024308300000001,0.6051373535294118,0.6076113494117648,0.6084235905882354,0.6088594829411765,0.6094896829411764,0.6098743652941175,0.6100560511764705,0.6100299094117647,0.6099547288235294,0.6097561605882352,0.6094348252941176,0.6090402923529412,0.6086611629411766,0.6082169982352941,0.6102254217647057,0.6113181923529412,0.6125827711764706,0.6134622770588234,0.6144311970588235,0.615221632352941,0.615877945882353,0.616604123529412,0.6170480823529413,0.6172459082352942,0.6174120411764706,0.6177702823529412,0.6181827799999999,0.6186167352941175,0.6190616352941177,0.6193651529411766,0.6196162588235294,0.6173925529411765,0.6162037588235295,0.6150502976470589,0.614343594117647,0.6137489705882353,0.6133668941176471,0.6132811511764705,0.6133576005882352,0.6135553888235293,0.6139739947058823,0.6143798211764706,0.6145987447058823,0.6146751070588236,0.6147025605882354,0.6146960076470589,0.6152491194117647,0.6144996076470589,0.61406549,0.6138117864705883,0.613459115882353,0.6131881194117648,0.6129653547058824,0.6131761076470589,0.613304155882353,0.613422655882353,0.6136037205882353,0.6137752476470588,0.6139950588235294,0.6143130823529412,0.6145672294117648,0.6146933676470588,0.6146461176470589,0.6139027552941178,0.6141653905882354,0.6141340435294118,0.6138157117647058,0.6135598494117648,0.6131986141176471,0.6126200747058824,0.6114833182352941,0.6104680270588236,0.60941358,0.6083802741176472,0.6073266941176472,0.6062393270588237,0.6049618011764707,0.603616454117647,0.5977683658823529,0.5945413335294119,0.5938502841176472,0.594015201764706,0.5942646723529412,0.594612781764706,0.5949808935294119,0.5954370670588235,0.5959062770588237,0.5962918947058825,0.5965929505882354,0.5969087152941177,0.5972619582352942,0.5977242605882352,0.5980373899999999,0.5986227864705881,0.5994317794117647,0.6048699129411764,0.6078019164705882,0.6084110376470588,0.6084853688235295,0.6084152923529413,0.6082803088235295,0.6081492800000001,0.6079262005882354,0.6078367494117647,0.6079772294117647,0.6081751382352941,0.6083259911764706,0.6084247952941176,0.6084274047058824,0.6086245011764706,0.6089697717647058,0.6091435576470589,0.6092564205882353,0.6088707464705883,0.6082446135294117,0.6074963617647058,0.6066894852941176,0.6058855064705881,0.6051229270588235,0.6044620482352941,0.6038456029411766,0.6031754129411765,0.6025096394117647,0.6017470335294117,0.6007725352941176,0.5997191905882352,0.5982202235294116,0.5961681441176471,0.5940848323529411,0.591707218235294,0.589649235882353,0.5876797770588235,0.5855010388235293,0.5832485035294118,0.5806755529411766,0.5779251470588236,0.5749394141176472,0.571813157647059,0.5686129417647061,0.5652961741176472,0.5620171976470588,0.5589026605882353,0.5521710935294118,0.5455382794117647,0.5395046447058823,0.5337496094117646,0.5285367052941177,0.5236720888235294,0.5190213735294118,0.5146579041176471,0.5103727288235294,0.5065132952941177,0.5028498741176471,0.4993277988235295,0.49585930117647065,0.4925318000000001,0.4893461564705883,0.4863110523529412,0.48338487117647067,0.4842249852941177,0.48543803470588237,0.4863784399999999,0.48713853588235295,0.48766477647058826,0.4881025429411765,0.48846037941176473,0.4888428488235294,0.48924916117647066,0.4895405747058823,0.4897959335294118,0.4900148982352941,0.4902873388235294,0.49050771352941175,0.4906926705882353,0.4912126629411764,0.491314335882353,0.49133145470588235,0.49113074117647065,0.4910268664705882,0.4910320176470588,0.4910963611764706,0.491099835882353,0.4911551323529412,0.4912311911764706,0.49137193529411766,0.4914782635294119,0.4915603041176471,0.4916047058823529,0.4916144923529412,0.49161447176470596,0.49162426764705885,0.4912651747058824,0.4913023911764706,0.4914205170588235,0.4917307423529412,0.4919339341176472,0.4920573811764706,0.4921664735294118,0.49226490176470583,0.49229540470588234,0.4922636105882353,0.4921652858823529,0.4920632211764705,0.4919197335294118,0.4917696858823528,0.4916523270588235,0.4913043858823529,0.4903320082352941,0.48950326882352924,0.4886511464705882,0.4878697170588235,0.4871396682352941,0.48656214352941174,0.48598200470588243,0.48551130470588233,0.48508303117647067,0.4846632305882353,0.48421563058823525,0.4835722611764705,0.4829510505882353,0.48228604823529403,0.48147960470588236,0.4806008252941177,0.4800017564705881,0.4799311670588235,0.47973717588235293,0.47961061764705876,0.47939302588235294,0.4791261600000001,0.4786973,0.4782458882352941,0.4776888276470589,0.47712726941176475,0.47656615294117644,0.47606123411764706,0.4757641088235294,0.47544230294117645,0.4752166223529411,0.47534899529411756,0.47542513470588227,0.4755544823529411,0.4757872611764706,0.4760026994117647,0.47609847000000005,0.4761136129411765,0.47617435882352943,0.4761476305882353,0.4760096929411765,0.4757977811764706,0.47562405999999996,0.4754371464705881,0.4752056558823529,0.4749311976470589,0.4747021611764706,0.4744645876470589,0.4740548264705883,0.4737738723529411,0.4733812005882352,0.47297310705882345,0.4725454699999999,0.4721982482352941,0.4719367558823529,0.47164391647058823,0.47143564,0.4713469323529413,0.4713515323529412,0.4713012894117648,0.47128332294117653,0.4712740147058825,0.4713028370588236,0.4713674941176471,0.47145057941176477,0.4710266617647059,0.4706946841176471,0.47034240647058817,0.4698718694117647,0.46943449176470586,0.4690418358823529,0.468673414117647,0.46831842117647055,0.46796990941176464,0.46765605235294105,0.4673177952941176,0.46701837941176455,0.46668884764705876,0.4663936947058823,0.46602049411764707,0.4655716588235293,0.4650732452941176,0.46508811411764706,0.4649874347058824,0.4649566994117647,0.4650311823529412,0.46499729058823536,0.464918375882353,0.464827445882353,0.4647197788235295,0.46458678941176473,0.4644144935294118,0.46426217705882356,0.4640884105882353,0.4639400317647059,0.4641355270588235,0.46441861058823525,0.4647343329411764,0.4648920211764706,0.46504584294117646,0.4651124,0.46518901176470584,0.46541200176470593,0.4658556094117647,0.46643447588235293,0.4670044511764706,0.46767226529411765,0.46795106937500003,0.46827874266666664,0.46865452071428576,0.46909195538461546,0.4695819083333333,0.46960445272727275,0.46960362299999997,0.4695627
