UniprotID	Q7Z5Q1-9
Accession	Q7Z5Q1;E7EPM3;F5H160;Q3B8N6;Q3MI89;Q3MI90;Q3MI92;Q7Z5Q0
EntryName	CPEB2_HUMAN
ProteinName	Cytoplasmic polyadenylation element-binding protein 2 (CPE-BP2) (CPE-binding protein 2) (hCPEB-2)
GeneName	CPEB2
Length	1034
Function	May play a role in translational regulation of stored mRNAs in transcriptionally inactive haploid spermatids. Binds to poly(U) RNA oligomers (By similarity). Required for cell cycle progression, specifically for the transition from metaphase to anaphase (PubMed:26398195).
Subcellular Location	Cytoplasm
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.84018886
pNuLoCRegion	
