UniprotID	Q8TEA7-2
Accession	Q8TEA7;B9A6J1;Q4W5B3;Q4W5E1;Q6NUP4;Q8N7M8;Q8WW57;Q96GV6;Q9P080
EntryName	TBCK_HUMAN
ProteinName	TBC domain-containing protein kinase-like protein (FERRY endosomal RAB5 effector complex subunit 1) (Fy-1)
GeneName	TBCK FERRY1 TBCKL HSPC302
Length	854
Function	Component of the FERRY complex (Five-subunit Endosomal Rab5 and RNA/ribosome intermediary) (PubMed:37267905). The FERRY complex directly interacts with mRNAs and RAB5A, and functions as a RAB5A effector involved in the localization and the distribution of specific mRNAs most likely by mediating their endosomal transport. The complex recruits mRNAs and ribosomes to early endosomes through direct mRNA-interaction (PubMed:37267905). Also involved in the modulation of mTOR signaling and expression of mTOR complex components (PubMed:23977024, PubMed:27040691). Involved in the control of actin-cytoskeleton organization (PubMed:23977024).
Subcellular Location	Cytoplasm; Cytoplasm; Cytoskeleton; Spindle; Midbody; Early endosome
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.53658164
pNuLoCRegion	25...33;213...229;300...310
