UniprotID	Q9P1A6-3
Accession	Q9P1A6;A1QCF8;A1QCF9;A5D8Y2;O14488;O14664;Q9P1A7
EntryName	DLGP2_HUMAN
ProteinName	Disks large-associated protein 2 (DAP-2) (PSD-95/SAP90-binding protein 2) (SAP90/PSD-95-associated protein 2) (SAPAP2)
GeneName	DLGAP2 C8orf68 DAP2 ERICH1-AS1
Length	975
Function	May play a role in the molecular organization of synapses and neuronal cell signaling. Could be an adapter protein linking ion channel to the subsynaptic cytoskeleton. May induce enrichment of PSD-95/SAP90 at the plasma membrane.
Subcellular Location	Cell membrane; Postsynaptic density; Synapse
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.41383576
pNuLoCRegion	74...80;189...205;254...256;371...372
