UniprotID	Q5H9U9-2
Accession	Q5H9U9;A0A804HKC9;Q96ND6
EntryName	DDX6L_HUMAN
ProteinName	Probable ATP-dependent RNA helicase DDX60-like (EC 3.6.4.13) (DEAD box protein 60-like)
GeneName	DDX60L
Length	1308
Function	
Subcellular Location	
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.23669009
pNuLoCRegion	253...258
