UniprotID	Q86YW9-3
Accession	Q86YW9;Q96PC7;Q96PC8;Q9H9M5;Q9HCD7;Q9UI69
EntryName	MD12L_HUMAN
ProteinName	Mediator of RNA polymerase II transcription subunit 12-like protein (Mediator complex subunit 12-like protein) (Thyroid hormone receptor-associated-like protein) (Trinucleotide repeat-containing gene 11 protein-like)
GeneName	MED12L KIAA1635 TNRC11L TRALP TRALPUSH PRO0314
Length	756
Function	May be a component of the Mediator complex, a coactivator involved in the regulated transcription of nearly all RNA polymerase II-dependent genes. Mediator functions as a bridge to convey information from gene-specific regulatory proteins to the basal RNA polymerase II transcription machinery. Mediator is recruited to promoters by direct interactions with regulatory proteins and serves as a scaffold for the assembly of a functional preinitiation complex with RNA polymerase II and the general transcription factors (By similarity).
Subcellular Location	Nucleus
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.95420825
pNuLoCRegion	4...31
