UniprotID	Q6ZN30-2
Accession	Q6ZN30;B1APG9;Q6T3A3;Q8NAR2;Q9H6J0;Q9NXV0
EntryName	BNC2_HUMAN
ProteinName	Zinc finger protein basonuclin-2
GeneName	BNC2
Length	903
Function	Probable transcription factor specific for skin keratinocytes. May play a role in the differentiation of spermatozoa and oocytes (PubMed:14988505). May also play an important role in early urinary-tract development (PubMed:31051115).
Subcellular Location	Nucleus
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.9091297
pNuLoCRegion	38...67;153...166;439...458;485...494;554...568;634...638;653...664;886...889
