UniprotID	Q9NQV6-7
Accession	Q9NQV6;B7ZL71;G3XAE5;J3KP23;Q17R90;Q2KHR4;Q863Z2;Q9NXI4;Q9ULI9
EntryName	PRD10_HUMAN
ProteinName	PR domain zinc finger protein 10 (EC 2.1.1.-) (PR domain-containing protein 10) (Tristanin)
GeneName	PRDM10 KIAA1231 PFM7 TRIS
Length	1160
Function	Acts as a transcriptional activator of FLNC expression.
Subcellular Location	Nucleus
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.9516828
pNuLoCRegion	38...45;393...399;434...439;501...527;544...570;618...628;681...699;779...791
