UniprotID	Q9Y2Z2-6
Accession	Q9Y2Z2;B3KQB5;Q5SWL2;Q5SWL3;Q5SWL4;Q8NDN7;Q8WZ57;Q96FE6;Q9BS06
EntryName	MTO1_HUMAN
ProteinName	5-taurinomethyluridine-[tRNA] synthase subunit MTO1, mitochondrial (Mitochondrial tRNA translation optimization 1) (Protein MTO1 homolog, mitochondrial)
GeneName	MTO1 CGI-02
Length	732
Function	Component of the GTPBP3-MTO1 complex that catalyzes the 5-taurinomethyluridine (taum(5)U) modification at the 34th wobble position (U34) of mitochondrial tRNAs (mt-tRNAs), which plays a role in mt-tRNA decoding and mitochondrial translation (PubMed:29390138, PubMed:33619562). Taum(5)U formation on mammalian mt-tRNA requires the presence of both GTPBP3-mediated GTPase activity and MTO1 catalytic activity (PubMed:29390138).
Subcellular Location	Mitochondrion
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.7509773
pNuLoCRegion	5...26;353...355;406...419;437...453
